image_id,model,method,predicted_grade,deletion_auc,insertion_auc
IDRiD_55,efficientnetb4,gradcam,2,0.5156292960047721,0.23212179262191057
IDRiD_56,efficientnetb4,gradcam,3,0.40968366898596287,0.564319709315896
IDRiD_57,efficientnetb4,gradcam,2,0.15915985107421876,0.5290005721151829
IDRiD_58,efficientnetb4,gradcam,3,0.59392124786973,0.3578088231384754
IDRiD_59,efficientnetb4,gradcam,3,0.6776996061205864,0.7695028319954872
IDRiD_60,efficientnetb4,gradcam,3,0.49409428238868713,0.5888396307826043
IDRiD_61,efficientnetb4,gradcam,3,0.5367001622915268,0.4905559837818146
IDRiD_62,efficientnetb4,gradcam,2,0.35645819306373594,0.2264490757137537
IDRiD_63,efficientnetb4,gradcam,2,0.7424306347966194,0.7350797116756439
IDRiD_64,efficientnetb4,gradcam,2,0.7439729169011116,0.5913507163524627
IDRiD_65,efficientnetb4,gradcam,4,0.1701856343075633,0.23147636726498605
IDRiD_66,efficientnetb4,gradcam,3,0.5002668634057045,0.5343868508934975
IDRiD_67,efficientnetb4,gradcam,4,0.290413000062108,0.47806233912706375
IDRiD_68,efficientnetb4,gradcam,4,0.5473774969577789,0.253378976508975
IDRiD_69,efficientnetb4,gradcam,4,0.5173712015151978,0.47551841139793394
IDRiD_70,efficientnetb4,gradcam,3,0.4421240046620369,0.4242355674505234
IDRiD_71,efficientnetb4,gradcam,2,0.39389820769429207,0.2583866398781538
IDRiD_72,efficientnetb4,gradcam,2,0.7369589924812316,0.3964101478457451
IDRiD_73,efficientnetb4,gradcam,2,0.5160152666270733,0.22567245736718178
IDRiD_74,efficientnetb4,gradcam,3,0.37444421015679835,0.3193804372102022
IDRiD_75,efficientnetb4,gradcam,3,0.5002849377691746,0.46571235433220864
IDRiD_76,efficientnetb4,gradcam,4,0.29990547969937326,0.24388909861445426
IDRiD_77,efficientnetb4,gradcam,2,0.28611799273639915,0.14202788285911083
IDRiD_78,efficientnetb4,gradcam,3,0.2988012908957899,0.4938718046061695
IDRiD_79,efficientnetb4,gradcam,3,0.30569613762199876,0.4468702469021082
IDRiD_80,efficientnetb4,gradcam,1,0.07769032046198845,0.06869585765525699
IDRiD_81,efficientnetb4,gradcam,3,0.63807906024158,0.7082922551780939
