image_id,model,method,predicted_grade,deletion_auc,insertion_auc
IDRiD_55,efficientnetb4,shap,2,0.48788092732429506,0.2554987475275993
IDRiD_56,efficientnetb4,shap,3,0.39746917225420475,0.6300383690744639
IDRiD_57,efficientnetb4,shap,2,0.37241312898695467,0.25484536252915857
IDRiD_58,efficientnetb4,shap,3,0.528275179117918,0.5922488741576671
IDRiD_59,efficientnetb4,shap,3,0.7119332179427147,0.7518580541014671
IDRiD_60,efficientnetb4,shap,3,0.38206163570284846,0.5121859386563301
IDRiD_61,efficientnetb4,shap,3,0.472717621922493,0.6396897673606873
IDRiD_62,efficientnetb4,shap,2,0.5214288160204887,0.30707103088498117
IDRiD_63,efficientnetb4,shap,2,0.8343974396586418,0.8558815851807594
IDRiD_64,efficientnetb4,shap,2,0.805917976796627,0.6896959602832794
IDRiD_65,efficientnetb4,shap,4,0.1598402933217585,0.2908778451383114
IDRiD_66,efficientnetb4,shap,3,0.47303586788475516,0.5558752834796905
IDRiD_67,efficientnetb4,shap,4,0.39893093556165693,0.2832642439752817
IDRiD_68,efficientnetb4,shap,4,0.46284695863723757,0.28998111821711064
IDRiD_69,efficientnetb4,shap,4,0.42050372809171677,0.2552265875041485
IDRiD_70,efficientnetb4,shap,3,0.427338232845068,0.35411289259791373
IDRiD_71,efficientnetb4,shap,2,0.4895779680460691,0.3421212717890739
IDRiD_72,efficientnetb4,shap,2,0.7967393398284912,0.5455059558153152
IDRiD_73,efficientnetb4,shap,2,0.5436264090240002,0.3763458162546158
IDRiD_74,efficientnetb4,shap,3,0.3984399098902941,0.30112232752144336
IDRiD_75,efficientnetb4,shap,3,0.5313524253666401,0.4292448177933693
IDRiD_76,efficientnetb4,shap,4,0.3280970938503742,0.1714684423059225
IDRiD_77,efficientnetb4,shap,2,0.3858965441584587,0.11994318459182977
IDRiD_78,efficientnetb4,shap,3,0.2878664224408567,0.39112537568435074
IDRiD_79,efficientnetb4,shap,3,0.42498286850750444,0.3736342329531908
IDRiD_80,efficientnetb4,shap,1,0.07931028120219707,0.06382815311662852
IDRiD_81,efficientnetb4,shap,3,0.600097106769681,0.5615227837115526
