image_id,model,method,predicted_grade,deletion_auc,insertion_auc
IDRiD_55,resnet50,lime,2,0.23440482625737785,0.29215040123090147
IDRiD_56,resnet50,lime,3,0.7580543264746666,0.9693675085902214
IDRiD_57,resnet50,lime,2,0.7295764818787575,0.8641454309225083
IDRiD_58,resnet50,lime,2,0.4015436889603734,0.240748100169003
IDRiD_59,resnet50,lime,2,0.5670182123780251,0.5982727833092213
IDRiD_60,resnet50,lime,2,0.4250223286449909,0.4187823496758938
IDRiD_61,resnet50,lime,3,0.957227523624897,0.9533895060420037
IDRiD_62,resnet50,lime,2,0.9199681892991066,0.9557197824120521
IDRiD_63,resnet50,lime,2,0.8618473246693611,0.6457087025046349
IDRiD_64,resnet50,lime,2,0.8858936071395874,0.8702725470066071
IDRiD_65,resnet50,lime,3,0.4550714686512947,0.47609755527228115
IDRiD_66,resnet50,lime,2,0.8752815529704094,0.8398444578051567
IDRiD_67,resnet50,lime,4,0.9239008009433747,0.9352080017328263
IDRiD_68,resnet50,lime,4,0.9156464368104935,0.9594378769397736
IDRiD_69,resnet50,lime,4,0.8083904534578323,0.8824010074138642
IDRiD_70,resnet50,lime,3,0.38281741086393595,0.4205924255773425
IDRiD_71,resnet50,lime,2,0.046748626069165765,0.016380131966434418
IDRiD_72,resnet50,lime,2,0.6344577834010124,0.7392748832702637
IDRiD_73,resnet50,lime,2,0.6064899727702141,0.5369149550795556
IDRiD_74,resnet50,lime,3,0.7429645650088788,0.8493238739669323
IDRiD_75,resnet50,lime,3,0.7862227149307728,0.8942341022193432
IDRiD_76,resnet50,lime,3,0.1435848569497466,0.14216571543365716
IDRiD_77,resnet50,lime,3,0.6137771917507052,0.8475217234343291
IDRiD_78,resnet50,lime,2,0.613309708237648,0.4328970141708851
IDRiD_79,resnet50,lime,3,0.9903031811118126,0.9947536751627922
IDRiD_80,resnet50,lime,2,0.44305786974728106,0.46160992681980134
IDRiD_81,resnet50,lime,3,0.1443665516679175,0.07993465991457924
