image_id,model,method,predicted_grade,deletion_auc,insertion_auc
IDRiD_55,vit_b16,attention_rollout,2,0.44941176772117614,0.5106744408607483
IDRiD_56,vit_b16,attention_rollout,1,0.0003145098489767406,0.0003531198890414089
IDRiD_57,vit_b16,attention_rollout,4,0.021014492167159914,0.007003233255818486
IDRiD_58,vit_b16,attention_rollout,0,0.0003342396106745582,0.00031695926518295894
IDRiD_59,vit_b16,attention_rollout,2,0.1606709375977516,0.204339662194252
IDRiD_60,vit_b16,attention_rollout,1,0.0002816712643834762,0.0003407327050808817
IDRiD_61,vit_b16,attention_rollout,4,0.3165728323161602,0.3197513736784458
IDRiD_62,vit_b16,attention_rollout,2,0.47809148877859114,0.47719442248344424
IDRiD_63,vit_b16,attention_rollout,0,0.0004203404707368463,0.0004146021165070124
IDRiD_64,vit_b16,attention_rollout,2,0.730142992734909,0.7683807075023651
IDRiD_65,vit_b16,attention_rollout,3,0.7497932448983192,0.7148603931069374
IDRiD_66,vit_b16,attention_rollout,2,0.6743975475430488,0.7278060927987099
IDRiD_67,vit_b16,attention_rollout,4,0.6754168257117271,0.6461088642477989
IDRiD_68,vit_b16,attention_rollout,1,7.403581530525116e-05,7.530793754995102e-05
IDRiD_69,vit_b16,attention_rollout,2,0.12978011444211007,0.14581113122403622
IDRiD_70,vit_b16,attention_rollout,2,0.2907867580652237,0.30393647104501725
IDRiD_71,vit_b16,attention_rollout,0,3.2481587049915105e-05,4.726550300802046e-05
IDRiD_72,vit_b16,attention_rollout,4,0.06943116448819638,0.038592417072504756
IDRiD_73,vit_b16,attention_rollout,2,0.2049224067479372,0.18408410921692847
IDRiD_74,vit_b16,attention_rollout,1,0.021927194169256835,0.030042607244104146
IDRiD_75,vit_b16,attention_rollout,2,0.5436181753873826,0.5768378749489784
IDRiD_76,vit_b16,attention_rollout,1,0.00024354341403522994,0.00023965770051290747
IDRiD_77,vit_b16,attention_rollout,0,0.0010093165241414682,0.002187534235417843
IDRiD_78,vit_b16,attention_rollout,1,0.0001836435043514939,0.00037807076623721516
IDRiD_79,vit_b16,attention_rollout,1,4.017826167910243e-05,4.6396095694944964e-05
IDRiD_80,vit_b16,attention_rollout,0,0.10826124511659145,0.12505640052258968
IDRiD_81,vit_b16,attention_rollout,2,0.6114973038434982,0.7052076697349549
