image_id,model,method,predicted_grade,deletion_auc,insertion_auc
IDRiD_55,efficientnetb4,lime,2,0.43618600368499755,0.2702319145202637
IDRiD_56,efficientnetb4,lime,3,0.5391943234950304,0.6069215465337038
IDRiD_57,efficientnetb4,lime,2,0.2792674764990807,0.35335533916950224
IDRiD_58,efficientnetb4,lime,3,0.38297074362635614,0.4854101024568081
IDRiD_59,efficientnetb4,lime,3,0.6386821046471596,0.8490498706698417
IDRiD_60,efficientnetb4,lime,3,0.4466935433447361,0.4283259466290474
IDRiD_61,efficientnetb4,lime,3,0.6532057002186775,0.45848632603883743
IDRiD_62,efficientnetb4,lime,2,0.32447090074419976,0.30419828817248346
IDRiD_63,efficientnetb4,lime,2,0.7601283147931099,0.5320754617452621
IDRiD_64,efficientnetb4,lime,2,0.6816275164484977,0.4630094811320305
IDRiD_65,efficientnetb4,lime,4,0.13835730459541082,0.3125812403857708
IDRiD_66,efficientnetb4,lime,3,0.5104743629693985,0.6239141017198563
IDRiD_67,efficientnetb4,lime,4,0.3556974947452545,0.36641575023531914
IDRiD_68,efficientnetb4,lime,4,0.39778829775750635,0.4028599724173546
IDRiD_69,efficientnetb4,lime,4,0.5382133856415748,0.5561092793941498
IDRiD_70,efficientnetb4,lime,3,0.5157047279179097,0.48551664799451827
IDRiD_71,efficientnetb4,lime,2,0.46283037923276427,0.31415049470961093
IDRiD_72,efficientnetb4,lime,2,0.6630916073918343,0.4119566671550274
IDRiD_73,efficientnetb4,lime,2,0.5082610618323088,0.23112868778407575
IDRiD_74,efficientnetb4,lime,3,0.3258406471461058,0.5941494319587945
IDRiD_75,efficientnetb4,lime,3,0.3621537409722805,0.44194797091186044
IDRiD_76,efficientnetb4,lime,4,0.2830200593918562,0.2528254628181458
IDRiD_77,efficientnetb4,lime,2,0.33990523368120196,0.10526983123272657
IDRiD_78,efficientnetb4,lime,3,0.3342367528937757,0.42944301990792155
IDRiD_79,efficientnetb4,lime,3,0.3557311538606882,0.523773855343461
IDRiD_80,efficientnetb4,lime,1,0.0753926133736968,0.07322883857414127
IDRiD_81,efficientnetb4,lime,3,0.6814506057649851,0.7310292471200228
