image_id,model,method,predicted_grade,deletion_auc,insertion_auc
IDRiD_55,resnet50,shap,2,0.27759350975975394,0.13696388425305486
IDRiD_56,resnet50,shap,3,0.8957363292574883,0.950963543355465
IDRiD_57,resnet50,shap,2,0.6472021609544754,0.6770928770303726
IDRiD_58,resnet50,shap,2,0.19844196382910012,0.14331390243023634
IDRiD_59,resnet50,shap,2,0.6458283357322216,0.39316525384783746
IDRiD_60,resnet50,shap,2,0.3440967444330454,0.40242707431316377
IDRiD_61,resnet50,shap,3,0.8900103494524956,0.9377186015248299
IDRiD_62,resnet50,shap,2,0.9543001785874367,0.9594603672623634
IDRiD_63,resnet50,shap,2,0.7644879356026649,0.6884472414851188
IDRiD_64,resnet50,shap,2,0.8354389518499374,0.7747774243354797
IDRiD_65,resnet50,shap,3,0.5992876207455993,0.7179553912952542
IDRiD_66,resnet50,shap,2,0.8699506238102913,0.8177532389760017
IDRiD_67,resnet50,shap,4,0.938474303483963,0.9268895149230957
IDRiD_68,resnet50,shap,4,0.946954894065857,0.9453613579273223
IDRiD_69,resnet50,shap,4,0.8691787123680115,0.760061252117157
IDRiD_70,resnet50,shap,3,0.19565262515097856,0.357357638143003
IDRiD_71,resnet50,shap,2,0.03314731808495708,0.015048612852115183
IDRiD_72,resnet50,shap,2,0.6343133568763732,0.6529432624578476
IDRiD_73,resnet50,shap,2,0.7217041328549385,0.7431153610348702
IDRiD_74,resnet50,shap,3,0.7113383494317531,0.8968980215489865
IDRiD_75,resnet50,shap,3,0.7833414547145366,0.9523340873420238
IDRiD_76,resnet50,shap,3,0.050574262719601394,0.0734297662973404
IDRiD_77,resnet50,shap,3,0.7104425955563783,0.9470965337008238
IDRiD_78,resnet50,shap,2,0.4555837109684944,0.511289545148611
IDRiD_79,resnet50,shap,3,0.9848467692732811,0.9734263136982918
IDRiD_80,resnet50,shap,2,0.1919859629124403,0.19386671297252178
IDRiD_81,resnet50,shap,3,0.2897896021953784,0.2969517226214521
