model,method,lesion_type,predicted_grade,iou_mean,iou_std,iou_count,dice_mean,dice_std,dice_count,underpowered
efficientnetb4,gradcam,EX,1,0.0012151120523678,,1,0.0024272746940006,,1,True
efficientnetb4,gradcam,EX,2,0.013058784537883889,0.016118176282787854,9,0.025348243880829843,0.030595639421821565,9,False
efficientnetb4,gradcam,EX,3,0.013185265132861125,0.031180481748560744,12,0.024446401292602542,0.05604851669461991,12,False
efficientnetb4,gradcam,EX,4,0.00430339889048794,0.003435152790497011,5,0.008551297042879361,0.006805054331781811,5,False
efficientnetb4,gradcam,HE,1,0.0,,1,0.0,,1,True
efficientnetb4,gradcam,HE,2,0.0040233987693535115,0.0045505706348183085,9,0.007978485208036956,0.008952390005571945,9,False
efficientnetb4,gradcam,HE,3,0.011967870138209517,0.020162046771834374,12,0.022968574263663156,0.037461221296220384,12,False
efficientnetb4,gradcam,HE,4,0.01758390049581104,0.019125805116256778,5,0.03401675768465538,0.036136727583435446,5,False
efficientnetb4,gradcam,MA,1,0.0001490027654058,,1,0.0002979611337787,,1,True
efficientnetb4,gradcam,MA,2,0.0011490731942910776,0.0008868275798443072,9,0.0022941161441970555,0.0017685562112950658,9,False
efficientnetb4,gradcam,MA,3,0.0015705402508164915,0.0012988461414523943,12,0.0031330785504175584,0.0025880262822125747,12,False
efficientnetb4,gradcam,MA,4,0.00150510086267236,0.000860318310886704,5,0.00300449775019082,0.0017172467702705793,5,False
efficientnetb4,gradcam,SE,2,0.00244718648686218,0.002187885355759914,5,0.0048748256544092,0.004352216534319613,5,False
efficientnetb4,gradcam,SE,3,0.010791727341333915,0.018772544112799487,7,0.0207845791923745,0.03571063330763463,7,False
efficientnetb4,gradcam,SE,4,0.00275320535778235,0.003893620356974069,2,0.0054762561997453,0.007744595788709548,2,True
efficientnetb4,lime,EX,1,0.0004756270382275,,1,0.0009508018493875,,1,True
efficientnetb4,lime,EX,2,0.012887575636851334,0.015838274353840245,9,0.025030869073124087,0.02995547121774772,9,False
efficientnetb4,lime,EX,3,0.009447123461108592,0.014355081318511,12,0.018360783989857375,0.02736120865837257,12,False
efficientnetb4,lime,EX,4,0.004662722199573,0.004826460773715309,5,0.00924549748608384,0.009540588077468118,5,False
efficientnetb4,lime,HE,1,0.0,,1,0.0,,1,True
efficientnetb4,lime,HE,2,0.002305625817469922,0.001819819161813111,9,0.0045947989856610335,0.0036218521466627163,9,False
efficientnetb4,lime,HE,3,0.01789192713613275,0.032930739955640755,12,0.03341315251885286,0.0587483585485193,12,False
efficientnetb4,lime,HE,4,0.0138927853059428,0.008371601079018647,5,0.02729643701920862,0.01641140919874905,5,False
efficientnetb4,lime,MA,1,6.016033902304297e-05,,1,0.0001203134399487,,1,True
efficientnetb4,lime,MA,2,0.0012315737811426557,0.0006768511040851933,9,0.0024593062330566,0.001350483454120946,9,False
efficientnetb4,lime,MA,3,0.0015771895772862916,0.00121162121733032,12,0.0031467361703081246,0.002412983258138389,12,False
efficientnetb4,lime,MA,4,0.00143558350637902,0.0010642773279683402,5,0.00286524630012264,0.0021228170105475753,5,False
efficientnetb4,lime,SE,2,0.00379494681038492,0.005747327551882971,5,0.00750918559215108,0.011355566498326718,5,False
efficientnetb4,lime,SE,3,0.0089645929172362,0.010323371432698661,7,0.017593891083506872,0.020068742021359068,7,False
