image_id,model,method,predicted_grade,cfs_weighted_iou,cfs_weighted_dice,n_lesion_types
IDRiD_55,efficientnetb4,gradcam,2,0.01148948364667251,0.02218774344944104,4.0
IDRiD_56,efficientnetb4,gradcam,3,0.0040575884329248895,0.00806691504356587,4.0
IDRiD_57,efficientnetb4,gradcam,2,7.928573699783334e-05,0.00015854628473276666,3.0
IDRiD_58,efficientnetb4,gradcam,3,0.0079228398516048,0.015681713190593832,3.0
IDRiD_59,efficientnetb4,gradcam,3,0.0221993643012693,0.04219549941620636,4.0
IDRiD_60,efficientnetb4,gradcam,3,0.0015223387608775478,0.00303911160074348,4.0
IDRiD_61,efficientnetb4,gradcam,3,0.017255650000920896,0.03271073341236474,4.0
IDRiD_62,efficientnetb4,gradcam,2,0.0019257040098571334,0.003842903075556433,3.0
IDRiD_63,efficientnetb4,gradcam,2,0.0010388708701810666,0.0020728813546201166,3.0
IDRiD_64,efficientnetb4,gradcam,2,0.0018787271497839203,0.0037242860695611895,4.0
IDRiD_65,efficientnetb4,gradcam,4,0.002804487002166,0.005591355128933267,3.0
IDRiD_66,efficientnetb4,gradcam,3,0.04413493646721068,0.08010751338519935,3.0
IDRiD_67,efficientnetb4,gradcam,4,0.02171288918756819,0.04140209450387992,4.0
IDRiD_68,efficientnetb4,gradcam,4,0.003975896882236771,0.007854844626132049,4.0
IDRiD_69,efficientnetb4,gradcam,4,0.010014652308763583,0.019797118419726503,3.0
IDRiD_70,efficientnetb4,gradcam,3,0.0070989232030835405,0.01399292037851354,4.0
IDRiD_71,efficientnetb4,gradcam,2,0.005628311666252461,0.011184001179060581,4.0
IDRiD_72,efficientnetb4,gradcam,2,0.0048567511319185,0.009558108576793201,4.0
IDRiD_73,efficientnetb4,gradcam,2,0.00297631258085256,0.005934822990457581,4.0
IDRiD_74,efficientnetb4,gradcam,3,0.00222457811455077,0.0044291087796567,4.0
IDRiD_75,efficientnetb4,gradcam,3,0.0038917063931972603,0.00771570638750943,4.0
IDRiD_76,efficientnetb4,gradcam,4,0.0063263638661981494,0.012565922354795667,3.0
IDRiD_77,efficientnetb4,gradcam,2,0.004996721451157267,0.0099414274141501,3.0
IDRiD_78,efficientnetb4,gradcam,3,0.005088995659366899,0.010105111732390917,3.0
IDRiD_79,efficientnetb4,gradcam,3,0.014002428007137482,0.027557663294450585,3.0
IDRiD_80,efficientnetb4,gradcam,1,0.0006076321337303333,0.0012131938791741,3.0
IDRiD_81,efficientnetb4,gradcam,3,0.004798661673051133,0.009543325822157866,3.0
