image_id,model,method,predicted_grade,cfs_weighted_iou,cfs_weighted_dice,n_lesion_types
IDRiD_55,efficientnetb4,lime,2,0.012042018080160989,0.02286274850064034,4.0
IDRiD_56,efficientnetb4,lime,3,0.0029530575166663202,0.00586932770863806,4.0
IDRiD_57,efficientnetb4,lime,2,0.0019908162583828167,0.0039597631172458665,3.0
IDRiD_58,efficientnetb4,lime,3,0.010619701547121434,0.02092698197479335,3.0
IDRiD_59,efficientnetb4,lime,3,0.0157067551678653,0.030413178228180647,4.0
IDRiD_60,efficientnetb4,lime,3,0.00465493730086299,0.00923473392703527,4.0
IDRiD_61,efficientnetb4,lime,3,0.03287447533708564,0.06112135472314791,4.0
IDRiD_62,efficientnetb4,lime,2,0.003037544886614033,0.006053408853941784,3.0
IDRiD_63,efficientnetb4,lime,2,0.0026680770911546667,0.00531821724657625,3.0
IDRiD_64,efficientnetb4,lime,2,0.0017465257052489002,0.0034819224309612603,4.0
IDRiD_65,efficientnetb4,lime,4,0.002017704084072922,0.004016597026966815,3.0
IDRiD_66,efficientnetb4,lime,3,0.022014138601356984,0.042158921580718385,3.0
IDRiD_67,efficientnetb4,lime,4,0.006906914156148659,0.013608505542873262,4.0
IDRiD_68,efficientnetb4,lime,4,0.00325239659387052,0.00645232935271776,4.0
IDRiD_69,efficientnetb4,lime,4,0.007685684475820233,0.0152058089069477,3.0
IDRiD_70,efficientnetb4,lime,3,0.003982208181145501,0.007866822171462251,4.0
IDRiD_71,efficientnetb4,lime,2,0.00212048910288473,0.0042060394659788405,4.0
IDRiD_72,efficientnetb4,lime,2,0.0028278637230617102,0.0055942280424983795,4.0
IDRiD_73,efficientnetb4,lime,2,0.0036942625660094596,0.007355422073642389,4.0
IDRiD_74,efficientnetb4,lime,3,0.0005753184656300395,0.0011485929873755799,4.0
IDRiD_75,efficientnetb4,lime,3,0.0029170975189299598,0.0057915807416225795,4.0
IDRiD_76,efficientnetb4,lime,4,0.012769498565853533,0.02501397077855,3.0
IDRiD_77,efficientnetb4,lime,2,0.0065574304539548515,0.013022223011889199,3.0
IDRiD_78,efficientnetb4,lime,3,0.01785377497886705,0.0349765872649741,3.0
IDRiD_79,efficientnetb4,lime,3,0.02464140980938397,0.04790045659405843,3.0
IDRiD_80,efficientnetb4,lime,1,0.0002390466776608613,0.0004777918991193833,3.0
IDRiD_81,efficientnetb4,lime,3,0.0009280089058614333,0.0018508649542396001,3.0
