image_id,model,method,predicted_grade,cfs_weighted_iou,cfs_weighted_dice,n_lesion_types
IDRiD_55,efficientnetb4,shap,2,0.017218498823747753,0.03257386458757531,4.0
IDRiD_56,efficientnetb4,shap,3,0.008517479866537631,0.01681594351894663,4.0
IDRiD_57,efficientnetb4,shap,2,0.0022357178661010666,0.0044480468079248,3.0
IDRiD_58,efficientnetb4,shap,3,0.012080505130799281,0.023822175586488498,3.0
IDRiD_59,efficientnetb4,shap,3,0.007236906686960429,0.01436098053075425,4.0
IDRiD_60,efficientnetb4,shap,3,0.007778428020800321,0.01542827492140034,4.0
IDRiD_61,efficientnetb4,shap,3,0.01939094082751092,0.03693578466241081,4.0
IDRiD_62,efficientnetb4,shap,2,0.0028287093290431838,0.005637589168641317,3.0
IDRiD_63,efficientnetb4,shap,2,0.0014034743991648668,0.0028007435927795503,3.0
IDRiD_64,efficientnetb4,shap,2,0.0027790593946985204,0.00552161463358112,4.0
IDRiD_65,efficientnetb4,shap,4,0.009176713496168215,0.0181472592727365,3.0
IDRiD_66,efficientnetb4,shap,3,0.03956958091563054,0.07120911102830685,3.0
IDRiD_67,efficientnetb4,shap,4,0.00965455162178433,0.01885091436127645,4.0
IDRiD_68,efficientnetb4,shap,4,0.00805479500325203,0.01582845620370107,4.0
IDRiD_69,efficientnetb4,shap,4,0.01636321231069563,0.03193566971318774,3.0
IDRiD_70,efficientnetb4,shap,3,0.00468806553197337,0.009287087253400121,4.0
IDRiD_71,efficientnetb4,shap,2,0.01141836916454468,0.022259491124212404,4.0
IDRiD_72,efficientnetb4,shap,2,0.008445451209646652,0.016325522150952763,4.0
IDRiD_73,efficientnetb4,shap,2,0.00372723714290192,0.007423286767902271,4.0
IDRiD_74,efficientnetb4,shap,3,0.00583618472936426,0.011551342017597882,4.0
IDRiD_75,efficientnetb4,shap,3,0.00762061652705158,0.01507231658890679,4.0
IDRiD_76,efficientnetb4,shap,4,0.008577383585085016,0.016998240504025496,3.0
IDRiD_77,efficientnetb4,shap,2,0.006408523003695717,0.012684171788503784,3.0
IDRiD_78,efficientnetb4,shap,3,0.0046679432720495495,0.009285957954777633,3.0
IDRiD_79,efficientnetb4,shap,3,0.018610716658751233,0.036059780623989665,3.0
IDRiD_80,efficientnetb4,shap,1,0.0014124910559686202,0.0028195627020293837,3.0
IDRiD_81,efficientnetb4,shap,3,0.003940565569748933,0.00784502164789945,3.0
