image_id,model,method,predicted_grade,cfs_weighted_iou,cfs_weighted_dice,n_lesion_types
IDRiD_55,resnet50,gradcam,2,0.011440955230077581,0.02236240011369494,4.0
IDRiD_56,resnet50,gradcam,3,0.061932622724616006,0.10725827911320744,4.0
IDRiD_57,resnet50,gradcam,2,0.0005834324581267333,0.0011654176757015498,3.0
IDRiD_58,resnet50,gradcam,2,0.013093099006915432,0.025771738105429053,3.0
IDRiD_59,resnet50,gradcam,2,0.013748377107788878,0.02699601073216701,4.0
IDRiD_60,resnet50,gradcam,2,0.01558646733790745,0.030543536662216385,4.0
IDRiD_61,resnet50,gradcam,3,0.04630491110715285,0.08192582820245198,4.0
IDRiD_62,resnet50,gradcam,2,0.0011511234853620667,0.002295113921675633,3.0
IDRiD_63,resnet50,gradcam,2,0.011883406921456533,0.022962220988157065,3.0
IDRiD_64,resnet50,gradcam,2,0.00459843346706711,0.00913615355257682,4.0
IDRiD_65,resnet50,gradcam,3,0.0037767980349417665,0.0074836262121948,3.0
IDRiD_66,resnet50,gradcam,2,0.0463506477600987,0.0815097492054541,3.0
IDRiD_67,resnet50,gradcam,4,0.033558773977050295,0.06276424202104917,4.0
IDRiD_68,resnet50,gradcam,4,0.013742917706160809,0.02628187015019451,4.0
IDRiD_69,resnet50,gradcam,4,0.022693151193020136,0.043942477344065096,3.0
IDRiD_70,resnet50,gradcam,3,0.01661973338235316,0.032237769332618196,4.0
IDRiD_71,resnet50,gradcam,2,0.00145848691381949,0.00290353234164396,4.0
IDRiD_72,resnet50,gradcam,2,0.00208997607459727,0.004138366068788349,4.0
IDRiD_73,resnet50,gradcam,2,0.0033536310000579495,0.00668081306738752,4.0
IDRiD_74,resnet50,gradcam,3,0.0,0.0,4.0
IDRiD_75,resnet50,gradcam,3,0.00770276409798223,0.01512966261803748,4.0
IDRiD_76,resnet50,gradcam,3,0.0005915243894845499,0.00117886481522845,3.0
IDRiD_77,resnet50,gradcam,3,0.018672876349264716,0.03595822206497355,3.0
IDRiD_78,resnet50,gradcam,2,0.015665389233240668,0.030736081581072397,3.0
IDRiD_79,resnet50,gradcam,3,0.021795685161546285,0.04117854351236377,3.0
IDRiD_80,resnet50,gradcam,2,0.0046441499704130505,0.0092062734704842,3.0
IDRiD_81,resnet50,gradcam,3,0.0015049034981458999,0.003004772194764383,3.0
