image_id,model,method,predicted_grade,cfs_weighted_iou,cfs_weighted_dice,n_lesion_types
IDRiD_55,resnet50,lime,2,0.014169920927112912,0.02666725346473544,4.0
IDRiD_56,resnet50,lime,3,0.0069756351074562,0.013634245151113172,4.0
IDRiD_57,resnet50,lime,2,6.64983850392e-05,0.00013297024315913334,3.0
IDRiD_58,resnet50,lime,2,0.0004238221250731334,0.0008470777007654833,3.0
IDRiD_59,resnet50,lime,2,0.005358871479761549,0.010632334470385599,4.0
IDRiD_60,resnet50,lime,2,0.00097401381452047,0.0019431131033512898,4.0
IDRiD_61,resnet50,lime,3,0.03369813318869815,0.06120382359238012,4.0
IDRiD_62,resnet50,lime,2,0.003847079046715366,0.007608379106925866,3.0
IDRiD_63,resnet50,lime,2,0.0005085288543186167,0.0010159497019558666,3.0
IDRiD_64,resnet50,lime,2,0.0047323773770448895,0.00932491571578534,4.0
IDRiD_65,resnet50,lime,3,0.007061920266700351,0.013999069120652184,3.0
IDRiD_66,resnet50,lime,2,0.035281268657678215,0.06395755226071605,3.0
IDRiD_67,resnet50,lime,4,0.023975151008161312,0.04572420358925097,4.0
IDRiD_68,resnet50,lime,4,0.01609014653533638,0.03054219825268293,4.0
IDRiD_69,resnet50,lime,4,0.0057091608217303995,0.011319103304080917,3.0
IDRiD_70,resnet50,lime,3,0.013750943608507381,0.02643855008086778,4.0
IDRiD_71,resnet50,lime,2,0.00532642074924206,0.010510166734680021,4.0
IDRiD_72,resnet50,lime,2,0.0022228606954561103,0.004401329249021179,4.0
IDRiD_73,resnet50,lime,2,0.00379945279909409,0.00756354601891916,4.0
IDRiD_74,resnet50,lime,3,0.00095280702655514,0.0018984466707976599,4.0
IDRiD_75,resnet50,lime,3,0.00446130418515221,0.00883863627057509,4.0
IDRiD_76,resnet50,lime,3,0.00273591473424885,0.005454661106095183,3.0
IDRiD_77,resnet50,lime,3,0.0032989318701619665,0.006549391898314767,3.0
IDRiD_78,resnet50,lime,2,0.0032947768680511996,0.0065651240859537835,3.0
IDRiD_79,resnet50,lime,3,0.023632287644185634,0.0447171837591187,3.0
IDRiD_80,resnet50,lime,2,0.0005951376861225622,0.001188867179167927,3.0
IDRiD_81,resnet50,lime,3,0.008589738576825467,0.016854592449254233,3.0
