image_id,model,method,predicted_grade,cfs_weighted_iou,cfs_weighted_dice,n_lesion_types
IDRiD_55,resnet50,shap,2,0.01567211027891461,0.030085688475116272,4.0
IDRiD_56,resnet50,shap,3,0.008958015210379009,0.01761907142603944,4.0
IDRiD_57,resnet50,shap,2,0.0016953882785093691,0.0033751490550815665,3.0
IDRiD_58,resnet50,shap,2,0.009514139439865033,0.018815009485881714,3.0
IDRiD_59,resnet50,shap,2,0.015336626083436722,0.03002347650479565,4.0
IDRiD_60,resnet50,shap,2,0.00618923723418615,0.012295722471272242,4.0
IDRiD_61,resnet50,shap,3,0.017465387516237628,0.03329422946929854,4.0
IDRiD_62,resnet50,shap,2,0.0016039544424930167,0.003198337822392783,3.0
IDRiD_63,resnet50,shap,2,0.0059502642513511545,0.011776425175957339,3.0
IDRiD_64,resnet50,shap,2,0.004856428472081779,0.00965775286241464,4.0
IDRiD_65,resnet50,shap,3,0.004896517707606384,0.009737436914642883,3.0
IDRiD_66,resnet50,shap,2,0.04097676071946015,0.0737279262456642,3.0
IDRiD_67,resnet50,shap,4,0.020362872831104974,0.03916886202095056,4.0
IDRiD_68,resnet50,shap,4,0.011261649925852041,0.02204812953514343,4.0
IDRiD_69,resnet50,shap,4,0.013986542949580983,0.027370589672898404,3.0
IDRiD_70,resnet50,shap,3,0.0038383845270019896,0.007637776264796921,4.0
IDRiD_71,resnet50,shap,2,0.00818654725615421,0.01596559909540559,4.0
IDRiD_72,resnet50,shap,2,0.008816437155844351,0.016967445273573432,4.0
IDRiD_73,resnet50,shap,2,0.0021138021547180198,0.0042140022945824,4.0
IDRiD_74,resnet50,shap,3,0.00457608598022953,0.009103869397760339,4.0
IDRiD_75,resnet50,shap,3,0.008337004413025718,0.016422083552706242,4.0
IDRiD_76,resnet50,shap,3,0.007538320361439084,0.014954512580973883,3.0
IDRiD_77,resnet50,shap,3,0.006169631423505534,0.012249790201056534,3.0
IDRiD_78,resnet50,shap,2,0.012041661563267933,0.023756145032626016,3.0
IDRiD_79,resnet50,shap,3,0.01934327815043563,0.037626322910068295,3.0
IDRiD_80,resnet50,shap,2,0.001696382753187082,0.003385897154030166,3.0
IDRiD_81,resnet50,shap,3,0.022336323431012484,0.042768517771043596,3.0
