image_id,model,method,predicted_grade,cfs_weighted_iou,cfs_weighted_dice,n_lesion_types
IDRiD_55,vit_b16,attention_rollout,2,0.02184915141255591,0.041101759251191076,4.0
IDRiD_56,vit_b16,attention_rollout,1,0.0063934953913916005,0.01259854648961753,4.0
IDRiD_57,vit_b16,attention_rollout,4,0.0028664944052865,0.0056893432345507,3.0
IDRiD_58,vit_b16,attention_rollout,0,0.012765726141947265,0.025153547045483133,3.0
IDRiD_59,vit_b16,attention_rollout,2,0.014830847884082283,0.029150532350560955,4.0
IDRiD_60,vit_b16,attention_rollout,1,0.008485039091411708,0.016801916604596727,4.0
IDRiD_61,vit_b16,attention_rollout,4,0.0350836170529689,0.0637941790688238,4.0
IDRiD_62,vit_b16,attention_rollout,2,0.0020904446992382497,0.004156155690775653,3.0
IDRiD_63,vit_b16,attention_rollout,0,0.006351841205381768,0.012473614708494918,3.0
IDRiD_64,vit_b16,attention_rollout,2,0.00386895980590832,0.00764342767962102,4.0
IDRiD_65,vit_b16,attention_rollout,3,0.0064639758368876836,0.012821913812699365,3.0
IDRiD_66,vit_b16,attention_rollout,2,0.06377374412308123,0.10865625686766094,3.0
IDRiD_67,vit_b16,attention_rollout,4,0.012050727658583189,0.023451274032306808,4.0
IDRiD_68,vit_b16,attention_rollout,1,0.01218819781603162,0.023858705116649306,4.0
IDRiD_69,vit_b16,attention_rollout,2,0.01817252878838515,0.035330765549017214,3.0
IDRiD_70,vit_b16,attention_rollout,2,0.00830473748955427,0.01641056901798009,4.0
IDRiD_71,vit_b16,attention_rollout,0,0.02252735734877738,0.04232451213218045,4.0
IDRiD_72,vit_b16,attention_rollout,4,0.0068559639594203995,0.013363294915894452,4.0
IDRiD_73,vit_b16,attention_rollout,2,0.0036691081604238404,0.007308983201918781,4.0
IDRiD_74,vit_b16,attention_rollout,1,0.00307743048096054,0.00613525661412072,4.0
IDRiD_75,vit_b16,attention_rollout,2,0.006030453301551839,0.01196155540374653,4.0
IDRiD_76,vit_b16,attention_rollout,1,0.008609128463259516,0.01706338099402185,3.0
IDRiD_77,vit_b16,attention_rollout,0,0.004997893091874833,0.009891602395712967,3.0
IDRiD_78,vit_b16,attention_rollout,1,0.010221382500656599,0.0201935308623994,3.0
IDRiD_79,vit_b16,attention_rollout,1,0.011851650149747367,0.023119488449312383,3.0
IDRiD_80,vit_b16,attention_rollout,0,0.00023432221388850686,0.00046835620027010005,3.0
IDRiD_81,vit_b16,attention_rollout,2,0.016392208530988484,0.03158435383389247,3.0
