image_id,model,method,lesion_type,predicted_grade,iou,dice
IDRiD_55,efficientnetb4,gradcam,MA,2,0.0010238200596867405,0.002045545848500777
IDRiD_55,efficientnetb4,gradcam,HE,2,0.00730629180812004,0.0145065942058303
IDRiD_55,efficientnetb4,gradcam,EX,2,0.04451308568622942,0.08523222216404305
IDRiD_55,efficientnetb4,gradcam,SE,2,0.0007314924025549385,0.0014619154250832508
IDRiD_56,efficientnetb4,gradcam,MA,3,0.0,0.0
IDRiD_56,efficientnetb4,gradcam,HE,3,0.004593975042696348,0.009145933893344522
IDRiD_56,efficientnetb4,gradcam,EX,3,0.0,0.0
IDRiD_56,efficientnetb4,gradcam,SE,3,0.006698489800290056,0.013307837188906302
IDRiD_57,efficientnetb4,gradcam,MA,2,0.00016840615481969058,0.0003367555979240208
IDRiD_57,efficientnetb4,gradcam,HE,2,0.0,0.0
IDRiD_57,efficientnetb4,gradcam,EX,2,0.00015365413358378136,0.0003072610552363363
IDRiD_58,efficientnetb4,gradcam,MA,3,0.0015862126827920107,0.0031674011936391805
IDRiD_58,efficientnetb4,gradcam,HE,3,0.006069847634248218,0.012066453732852317
IDRiD_58,efficientnetb4,gradcam,EX,3,0.013870641762046165,0.027361758375683557
IDRiD_59,efficientnetb4,gradcam,MA,3,0.0,0.0
IDRiD_59,efficientnetb4,gradcam,HE,3,0.0,0.0
IDRiD_59,efficientnetb4,gradcam,EX,3,0.0033619554568203236,0.006701381168652463
IDRiD_59,efficientnetb4,gradcam,SE,3,0.05381743302476316,0.1021380579561897
IDRiD_60,efficientnetb4,gradcam,MA,3,9.651394450377742e-05,0.00019300926092245748
IDRiD_60,efficientnetb4,gradcam,HE,3,0.0014268607750099673,0.0028496554883812716
IDRiD_60,efficientnetb4,gradcam,EX,3,0.0009591213052264923,0.0019164045460234606
IDRiD_60,efficientnetb4,gradcam,SE,3,0.002232012182197331,0.004454082797330504
IDRiD_61,efficientnetb4,gradcam,MA,3,0.0025613932238913273,0.005109698500666919
IDRiD_61,efficientnetb4,gradcam,HE,3,0.05627870973534697,0.10656034097184014
IDRiD_61,efficientnetb4,gradcam,EX,3,0.0005794887896385681,0.0011583063537301825
IDRiD_61,efficientnetb4,gradcam,SE,3,0.0,0.0
IDRiD_62,efficientnetb4,gradcam,MA,2,0.0004117963212861965,0.0008232536297561739
IDRiD_62,efficientnetb4,gradcam,HE,2,0.002505020644891795,0.004997522393015777
IDRiD_62,efficientnetb4,gradcam,EX,2,0.001813682901590886,0.0036207988222677246
IDRiD_63,efficientnetb4,gradcam,MA,2,0.0010237176724804484,0.002045341492728533
IDRiD_63,efficientnetb4,gradcam,HE,2,0.0,0.0
IDRiD_63,efficientnetb4,gradcam,EX,2,0.002604753774303019,0.005195973317496111
IDRiD_64,efficientnetb4,gradcam,MA,2,0.0005062122445906616,0.0010119122468115358
IDRiD_64,efficientnetb4,gradcam,HE,2,0.0,0.0
IDRiD_64,efficientnetb4,gradcam,EX,2,0.009140529626624363,0.018115474224400244
IDRiD_64,efficientnetb4,gradcam,SE,2,0.0,0.0
IDRiD_65,efficientnetb4,gradcam,MA,4,0.0019287364736305915,0.0038500472207613004
IDRiD_65,efficientnetb4,gradcam,HE,4,0.0037900895844443488,0.007551558087235938
IDRiD_65,efficientnetb4,gradcam,EX,4,0.0017639583930163084,0.0035217046455653473
IDRiD_66,efficientnetb4,gradcam,MA,3,0.0013004052412755713,0.002597432767366598
IDRiD_66,efficientnetb4,gradcam,HE,3,0.010421533919870255,0.02062809148463124
IDRiD_66,efficientnetb4,gradcam,EX,3,0.11612230590118905,0.208081686544968
IDRiD_67,efficientnetb4,gradcam,MA,4,0.0024116696597849957,0.004811735004249318
IDRiD_67,efficientnetb4,gradcam,HE,4,0.05891079440292923,0.1112667747166489
IDRiD_67,efficientnetb4,gradcam,EX,4,0.002582597260067544,0.005151889265035037
IDRiD_67,efficientnetb4,gradcam,SE,4,0.00820491112174361,0.01627627683863334
IDRiD_68,efficientnetb4,gradcam,MA,4,0.0,0.0
IDRiD_68,efficientnetb4,gradcam,HE,4,0.012779118874820123,0.025235747137080593
IDRiD_68,efficientnetb4,gradcam,EX,4,0.000710806098953704,0.0014206024250395014
IDRiD_68,efficientnetb4,gradcam,SE,4,0.0,0.0
IDRiD_69,efficientnetb4,gradcam,MA,4,0.001398799834964251,0.0027936918542238727
IDRiD_69,efficientnetb4,gradcam,HE,4,0.013113485650914358,0.025887495994565874
IDRiD_69,efficientnetb4,gradcam,EX,4,0.009674328532437257,0.019163265340218966
IDRiD_70,efficientnetb4,gradcam,MA,3,0.0011905222735104448,0.0023782132311979914
IDRiD_70,efficientnetb4,gradcam,HE,3,0.0015620801725502321,0.003119287767526333
IDRiD_70,efficientnetb4,gradcam,EX,3,0.0004339735389746864,0.0008675705752765097
IDRiD_70,efficientnetb4,gradcam,SE,3,0.01606113054043137,0.031614496525201465
IDRiD_71,efficientnetb4,gradcam,MA,2,0.0028049942147320363,0.005594296460257554
IDRiD_71,efficientnetb4,gradcam,HE,2,0.004672685556414482,0.009301906229941197
IDRiD_71,efficientnetb4,gradcam,EX,2,0.00989035183066097,0.019586981522761174
IDRiD_71,efficientnetb4,gradcam,SE,2,0.004919840529306981,0.009791508398750738
IDRiD_72,efficientnetb4,gradcam,MA,2,0.0006922579891634807,0.0013835581991101546
IDRiD_72,efficientnetb4,gradcam,HE,2,0.002913189075465613,0.00580945411267576
IDRiD_72,efficientnetb4,gradcam,EX,2,0.019567843051812417,0.03838458261539741
IDRiD_72,efficientnetb4,gradcam,SE,2,0.0,0.0
IDRiD_73,efficientnetb4,gradcam,MA,2,0.002743583682927572,0.005472154053284088
IDRiD_73,efficientnetb4,gradcam,HE,2,0.0026767358120767374,0.005339180049707297
IDRiD_73,efficientnetb4,gradcam,EX,2,0.0029348262666950868,0.0058524765315401935
IDRiD_73,efficientnetb4,gradcam,SE,2,0.0032799205389945313,0.006538395659772501
IDRiD_74,efficientnetb4,gradcam,MA,3,0.0038583599311590774,0.007687060416419044
IDRiD_74,efficientnetb4,gradcam,HE,3,0.005236172463355579,0.010417795552510234
IDRiD_74,efficientnetb4,gradcam,EX,3,0.0013394519121411657,0.002675320361308786
IDRiD_74,efficientnetb4,gradcam,SE,3,0.0,0.0
IDRiD_75,efficientnetb4,gradcam,MA,3,0.0029990102416624542,0.005980086143733827
IDRiD_75,efficientnetb4,gradcam,HE,3,0.010342893045329477,0.020474025435373532
IDRiD_75,efficientnetb4,gradcam,EX,3,0.0024446872771610962,0.00487745071262007
IDRiD_75,efficientnetb4,gradcam,SE,3,0.0,0.0
IDRiD_76,efficientnetb4,gradcam,MA,4,0.002032394518086397,0.004056544537292826
IDRiD_76,efficientnetb4,gradcam,HE,4,0.00716522691227025,0.014228503369277624
IDRiD_76,efficientnetb4,gradcam,EX,4,0.007215053971146015,0.014326739741824206
IDRiD_77,efficientnetb4,gradcam,MA,2,0.002620225810742299,0.005226756339617073
IDRiD_77,efficientnetb4,gradcam,HE,2,0.005270850273760486,0.01048642815481042
IDRiD_77,efficientnetb4,gradcam,EX,2,0.005773776037460151,0.011481261840426244
IDRiD_78,efficientnetb4,gradcam,MA,3,0.0017023439802810042,0.003398901860440322
IDRiD_78,efficientnetb4,gradcam,HE,3,0.008380563703609234,0.016621827126117657
IDRiD_78,efficientnetb4,gradcam,EX,3,0.0018449694325464415,0.0036831435777762065
IDRiD_79,efficientnetb4,gradcam,MA,3,0.001886738628457502,0.0037663710990732766
IDRiD_79,efficientnetb4,gradcam,HE,3,0.017656526070624606,0.03470036425511854
IDRiD_79,efficientnetb4,gradcam,EX,3,0.014579125601246834,0.028739257951137406
IDRiD_80,efficientnetb4,gradcam,MA,1,0.00012241456146500892,0.00024479915594869534
IDRiD_80,efficientnetb4,gradcam,HE,1,0.0,0.0
IDRiD_80,efficientnetb4,gradcam,EX,1,0.001761689120458524,0.0035171820595480702
IDRiD_81,efficientnetb4,gradcam,MA,3,0.0003462481154014979,0.0006922565382812414
IDRiD_81,efficientnetb4,gradcam,HE,3,0.0053289642834186786,0.010601433904208805
IDRiD_81,efficientnetb4,gradcam,EX,3,0.0062294145363248786,0.012381698341019818
