image_id,model,method,lesion_type,predicted_grade,iou,dice
IDRiD_55,efficientnetb4,shap,MA,2,0.0018873151806896265,0.003767519863946477
IDRiD_55,efficientnetb4,shap,HE,2,0.009660375428600392,0.01913589096630551
IDRiD_55,efficientnetb4,shap,EX,2,0.0695030251800849,0.12997256397359297
IDRiD_55,efficientnetb4,shap,SE,2,0.0005776241027043138,0.0011545812914261684
IDRiD_56,efficientnetb4,shap,MA,3,0.0014188513296717815,0.0028336820857483317
IDRiD_56,efficientnetb4,shap,HE,3,0.017870123203736633,0.035112776760733655
IDRiD_56,efficientnetb4,shap,EX,3,0.004396718012127606,0.008754943008634001
IDRiD_56,efficientnetb4,shap,SE,3,0.00533803542505995,0.010619384201062307
IDRiD_57,efficientnetb4,shap,MA,2,0.0003028181009519844,0.0006054528598187426
IDRiD_57,efficientnetb4,shap,HE,2,0.00042823804111332016,0.0008561094635869753
IDRiD_57,efficientnetb4,shap,EX,2,0.0059133874861573435,0.011757249798484703
IDRiD_58,efficientnetb4,shap,MA,3,0.0007224743873615651,0.0014439055899166473
IDRiD_58,efficientnetb4,shap,HE,3,0.014053831910302055,0.02771811804867808
IDRiD_58,efficientnetb4,shap,EX,3,0.01479953033326412,0.029167396891490272
IDRiD_59,efficientnetb4,shap,MA,3,0.0010854925451856876,0.0021686310575251733
IDRiD_59,efficientnetb4,shap,HE,3,0.007540344506603504,0.014967826445294437
IDRiD_59,efficientnetb4,shap,EX,3,0.008976363098557757,0.01779300968159734
IDRiD_59,efficientnetb4,shap,SE,3,0.007677453651873288,0.015237918887734986
IDRiD_60,efficientnetb4,shap,MA,3,0.0017270089281500095,0.0034480630206784836
IDRiD_60,efficientnetb4,shap,HE,3,0.008837999695289886,0.017521147494363457
IDRiD_60,efficientnetb4,shap,EX,3,0.009065467694978171,0.017968046643567225
IDRiD_60,efficientnetb4,shap,SE,3,0.007853084201006957,0.015583787605775152
IDRiD_61,efficientnetb4,shap,MA,3,0.003107605674135659,0.0061959567578937875
IDRiD_61,efficientnetb4,shap,HE,3,0.05659851435107387,0.1071334354200464
IDRiD_61,efficientnetb4,shap,EX,3,0.007697878818214161,0.015278148302231044
IDRiD_61,efficientnetb4,shap,SE,3,0.0014026254778310386,0.0028013217504033595
IDRiD_62,efficientnetb4,shap,MA,2,0.00011876753235001357,0.00023750685659675293
IDRiD_62,efficientnetb4,shap,HE,2,0.0027502602647425673,0.00548543415788584
IDRiD_62,efficientnetb4,shap,EX,2,0.004301353823840875,0.00856586284079699
IDRiD_63,efficientnetb4,shap,MA,2,0.00041873765754175414,0.0008371247794143062
IDRiD_63,efficientnetb4,shap,HE,2,0.000729888116827363,0.0014587115374376713
IDRiD_63,efficientnetb4,shap,EX,2,0.0029062221934828126,0.005795601082475163
IDRiD_64,efficientnetb4,shap,MA,2,0.0008078249137353343,0.0016143457187796563
IDRiD_64,efficientnetb4,shap,HE,2,0.0019346565069025446,0.003861841676676679
IDRiD_64,efficientnetb4,shap,EX,2,0.009229628599893422,0.01829044320210398
IDRiD_64,efficientnetb4,shap,SE,2,0.0006798855781889356,0.0013588472956985646
IDRiD_65,efficientnetb4,shap,MA,4,0.002748022002214652,0.00548098214490137
IDRiD_65,efficientnetb4,shap,HE,4,0.0073719968467451285,0.014636096436710173
IDRiD_65,efficientnetb4,shap,EX,4,0.015098134217279761,0.029747142090693734
IDRiD_66,efficientnetb4,shap,MA,3,0.0021018101149316783,0.0041948035493332165
IDRiD_66,efficientnetb4,shap,HE,3,0.0016776495478638429,0.0033496795074165796
IDRiD_66,efficientnetb4,shap,EX,3,0.1151413633676301,0.20650541204912926
IDRiD_67,efficientnetb4,shap,MA,4,0.0012705203898714906,0.002537816432220095
IDRiD_67,efficientnetb4,shap,HE,4,0.02781085953064119,0.05411668746785039
IDRiD_67,efficientnetb4,shap,EX,4,0.0036584120045773496,0.007290153623622824
IDRiD_67,efficientnetb4,shap,SE,4,0.0011313983067235721,0.002260239382437065
IDRiD_68,efficientnetb4,shap,MA,4,0.0011473601737485126,0.0022920904941494107
IDRiD_68,efficientnetb4,shap,HE,4,0.02158711112374582,0.04226190970635876
IDRiD_68,efficientnetb4,shap,EX,4,0.0027320757843830538,0.005449263767185065
IDRiD_68,efficientnetb4,shap,SE,4,0.0022937762296921034,0.004577053722353848
IDRiD_69,efficientnetb4,shap,MA,4,0.0012469369543765551,0.0024907680779918807
IDRiD_69,efficientnetb4,shap,HE,4,0.02799746360565058,0.05446990794598044
IDRiD_69,efficientnetb4,shap,EX,4,0.006469973046422939,0.012856763181596705
IDRiD_70,efficientnetb4,shap,MA,3,0.0011342868260013441,0.0022660033542502875
IDRiD_70,efficientnetb4,shap,HE,3,0.006608638928372039,0.01313050310278987
IDRiD_70,efficientnetb4,shap,EX,3,0.01260149758816,0.02488935206628583
IDRiD_70,efficientnetb4,shap,SE,3,0.00017936413307413732,0.0003586639347025618
IDRiD_71,efficientnetb4,shap,MA,2,0.0019803960980044823,0.003952963761999148
IDRiD_71,efficientnetb4,shap,HE,2,0.002655242957743215,0.005296422626605903
IDRiD_71,efficientnetb4,shap,EX,2,0.03694602185384408,0.07125929619324306
IDRiD_71,efficientnetb4,shap,SE,2,0.0075863807416312636,0.015058521803455358
IDRiD_72,efficientnetb4,shap,MA,2,0.0006777068931864937,0.001354495835208674
IDRiD_72,efficientnetb4,shap,HE,2,0.0023744648459911497,0.004737680236808451
IDRiD_72,efficientnetb4,shap,EX,2,0.03818929169265556,0.07356903408316232
IDRiD_72,efficientnetb4,shap,SE,2,6.870681999895528e-05,0.00013740419939231582
IDRiD_73,efficientnetb4,shap,MA,2,0.0018460523370211965,0.0036853014147530602
IDRiD_73,efficientnetb4,shap,HE,2,0.0027017230333479447,0.005388886787138972
IDRiD_73,efficientnetb4,shap,EX,2,0.0030323186293240495,0.0060463029415997495
IDRiD_73,efficientnetb4,shap,SE,2,0.005314128183326654,0.010572075004913454
IDRiD_74,efficientnetb4,shap,MA,3,0.0027135055856324,0.005412324797694997
IDRiD_74,efficientnetb4,shap,HE,3,0.01337859525436263,0.02640394284429215
IDRiD_74,efficientnetb4,shap,EX,3,0.005650246099294448,0.011237000381018276
IDRiD_74,efficientnetb4,shap,SE,3,0.0010530159365834699,0.0021038165208428442
IDRiD_75,efficientnetb4,shap,MA,3,0.004383729132377146,0.00872919185213
IDRiD_75,efficientnetb4,shap,HE,3,0.01563191741281836,0.030782643091088562
IDRiD_75,efficientnetb4,shap,EX,3,0.0037302129820645444,0.007432700408573232
IDRiD_75,efficientnetb4,shap,SE,3,0.00436656448388872,0.00869516098663152
IDRiD_76,efficientnetb4,shap,MA,4,0.003442053437185934,0.006860492691920853
IDRiD_76,efficientnetb4,shap,HE,4,0.009962279954872472,0.01972802381355789
IDRiD_76,efficientnetb4,shap,EX,4,0.009067704104353591,0.01797243944577944
IDRiD_77,efficientnetb4,shap,MA,2,0.0015827313744247182,0.0031604605887180395
IDRiD_77,efficientnetb4,shap,HE,2,0.0032210614821450378,0.006421439114099709
IDRiD_77,efficientnetb4,shap,EX,2,0.013602611100657308,0.02684012640000289
IDRiD_78,efficientnetb4,shap,MA,3,0.001123623066443766,0.0022447239093252164
IDRiD_78,efficientnetb4,shap,HE,3,0.004574614909804629,0.009107566211426433
IDRiD_78,efficientnetb4,shap,EX,3,0.006580095918219983,0.01307416259253071
IDRiD_79,efficientnetb4,shap,MA,3,0.0026373034325917017,0.005260732716731619
IDRiD_79,efficientnetb4,shap,HE,3,0.00896912295199199,0.017778785788311487
IDRiD_79,efficientnetb4,shap,EX,3,0.041059813831970014,0.07888079683113614
IDRiD_80,efficientnetb4,shap,MA,1,5.2649503244822086e-05,0.00010529346284113067
IDRiD_80,efficientnetb4,shap,HE,1,0.0022139034456997025,0.004418025808838029
IDRiD_80,efficientnetb4,shap,EX,1,0.0008902932477339174,0.0017790026614106801
IDRiD_81,efficientnetb4,shap,MA,3,0.000691592620810522,0.0013822293020354882
IDRiD_81,efficientnetb4,shap,HE,3,0.00395611562740211,0.00788105289827298
IDRiD_81,efficientnetb4,shap,EX,3,0.005541726957738467,0.011022370945271332
