image_id,model,method,lesion_type,predicted_grade,iou,dice
IDRiD_55,efficientnetb4,shap,MA,2,0.0018353628351456628,0.00366400089921297
IDRiD_55,efficientnetb4,shap,HE,2,0.008352742142277316,0.016567103540635297
IDRiD_55,efficientnetb4,shap,EX,2,0.06628378731365776,0.12432672821679082
IDRiD_55,efficientnetb4,shap,SE,2,0.0004883084993582231,0.0009761403410913249
IDRiD_56,efficientnetb4,shap,MA,3,0.0012316992789565843,0.002460368124268539
IDRiD_56,efficientnetb4,shap,HE,3,0.01229619279665009,0.024293665992518747
IDRiD_56,efficientnetb4,shap,EX,3,0.005355655373624294,0.010654250254620492
IDRiD_56,efficientnetb4,shap,SE,3,0.0042877824697145255,0.008538951771712563
IDRiD_57,efficientnetb4,shap,MA,2,0.00022233674192219594,0.0004445746385677115
IDRiD_57,efficientnetb4,shap,HE,2,0.0002402945546153349,0.0004804736540279708
IDRiD_57,efficientnetb4,shap,EX,2,0.007891638603034897,0.015659696540340235
IDRiD_58,efficientnetb4,shap,MA,3,0.0007553672696616876,0.0015095942412430704
IDRiD_58,efficientnetb4,shap,HE,3,0.013954248668907413,0.027524414809102452
IDRiD_58,efficientnetb4,shap,EX,3,0.019890714871231452,0.03900558085528369
IDRiD_59,efficientnetb4,shap,MA,3,0.0016134223095596871,0.003221646742391679
IDRiD_59,efficientnetb4,shap,HE,3,0.006078900564658948,0.012084341618231298
IDRiD_59,efficientnetb4,shap,EX,3,0.009264531107487355,0.01835897492072012
IDRiD_59,efficientnetb4,shap,SE,3,0.0027504681647940077,0.005485847680186752
IDRiD_60,efficientnetb4,shap,MA,3,0.000979083091616088,0.0019562508511009034
IDRiD_60,efficientnetb4,shap,HE,3,0.007973362716572912,0.015820582192934203
IDRiD_60,efficientnetb4,shap,EX,3,0.006779581039933606,0.013467855660979473
IDRiD_60,efficientnetb4,shap,SE,3,0.003888922971051796,0.007747715672651042
IDRiD_61,efficientnetb4,shap,MA,3,0.00317766979893128,0.00633520839746799
IDRiD_61,efficientnetb4,shap,HE,3,0.03202466592182447,0.06206182270502114
IDRiD_61,efficientnetb4,shap,EX,3,0.009417875302588549,0.018660012930255265
IDRiD_61,efficientnetb4,shap,SE,3,0.0006134555400432845,0.0012261588861249022
IDRiD_62,efficientnetb4,shap,MA,2,0.0002075072627541964,0.0004149284248467139
IDRiD_62,efficientnetb4,shap,HE,2,0.005393634179906185,0.010729397912501687
IDRiD_62,efficientnetb4,shap,EX,2,0.0006689827833312168,0.00133707108912372
IDRiD_63,efficientnetb4,shap,MA,2,0.00039366539140028785,0.0007870209598863618
IDRiD_63,efficientnetb4,shap,HE,2,0.00018853140950578825,0.0003769917442266654
IDRiD_63,efficientnetb4,shap,EX,2,0.0018416937424545654,0.003676616283706023
IDRiD_64,efficientnetb4,shap,MA,2,0.0005665975815229546,0.0011325534609939647
IDRiD_64,efficientnetb4,shap,HE,2,0.0014026970392350398,0.002801464472548913
IDRiD_64,efficientnetb4,shap,EX,2,0.009081223720678058,0.017998994545144396
IDRiD_64,efficientnetb4,shap,SE,2,0.0001496626833367871,0.00029928057553956834
IDRiD_65,efficientnetb4,shap,MA,4,0.0034869822704973108,0.0069497309523789495
IDRiD_65,efficientnetb4,shap,HE,4,0.00965559788546314,0.01912651780604199
IDRiD_65,efficientnetb4,shap,EX,4,0.02238355203928972,0.04378699558427467
IDRiD_66,efficientnetb4,shap,MA,3,0.0025749763853904284,0.005136725823088179
IDRiD_66,efficientnetb4,shap,HE,3,0.0029079946573600493,0.005799125488781361
IDRiD_66,efficientnetb4,shap,EX,3,0.08809244833943651,0.16192088911907526
IDRiD_67,efficientnetb4,shap,MA,4,0.0013048706962558725,0.0026063404552272526
IDRiD_67,efficientnetb4,shap,HE,4,0.02775123620040335,0.05400380018612223
IDRiD_67,efficientnetb4,shap,EX,4,0.003656979373297249,0.007287309207137158
IDRiD_67,efficientnetb4,shap,SE,4,0.0009796362407317434,0.001957354985583632
IDRiD_68,efficientnetb4,shap,MA,4,0.0011156141949896113,0.002228741973796286
IDRiD_68,efficientnetb4,shap,HE,4,0.018772195699030023,0.03685258741508839
IDRiD_68,efficientnetb4,shap,EX,4,0.0021705650430300927,0.0043317277891451456
IDRiD_68,efficientnetb4,shap,SE,4,0.0016103359067069754,0.003215493788308844
IDRiD_69,efficientnetb4,shap,MA,4,0.0011580144466196882,0.0023133500005186884
IDRiD_69,efficientnetb4,shap,HE,4,0.012337890790862439,0.024375044939242144
IDRiD_69,efficientnetb4,shap,EX,4,0.007529295486385495,0.014946057688080865
IDRiD_70,efficientnetb4,shap,MA,3,0.0011137486452162003,0.0022250191783369476
IDRiD_70,efficientnetb4,shap,HE,3,0.005837170163621819,0.011606590682410899
IDRiD_70,efficientnetb4,shap,EX,3,0.012701239965900666,0.025083883508088402
