image_id,model,method,lesion_type,predicted_grade,iou,dice
IDRiD_55,resnet50,lime,MA,2,0.000779307504204429,0.0015574013138778952
IDRiD_55,resnet50,lime,HE,2,0.0019850732801402443,0.003962281141857383
IDRiD_55,resnet50,lime,EX,2,0.0549295858465144,0.10413886686557734
IDRiD_55,resnet50,lime,SE,2,0.0,0.0
IDRiD_56,resnet50,lime,MA,3,0.0022518948032716206,0.004493670333671231
IDRiD_56,resnet50,lime,HE,3,0.012434674746324502,0.02456390531950149
IDRiD_56,resnet50,lime,EX,3,0.0,0.0
IDRiD_56,resnet50,lime,SE,3,0.01990514955569613,0.03903333474562308
IDRiD_57,resnet50,lime,MA,2,0.0001801088683541835,0.00036015286998252
IDRiD_57,resnet50,lime,HE,2,0.0,0.0
IDRiD_57,resnet50,lime,EX,2,0.003912829330718184,0.00779515754037482
IDRiD_58,resnet50,lime,MA,2,0.0004836780074178229,0.0009668883522040562
IDRiD_58,resnet50,lime,HE,2,0.00038790123534030514,0.0007755016526315461
IDRiD_58,resnet50,lime,EX,2,0.006149135488408774,0.012223109420898796
IDRiD_59,resnet50,lime,MA,2,0.0010402747467593912,0.002078387399593003
IDRiD_59,resnet50,lime,HE,2,0.0041533955069355645,0.008272432330597795
IDRiD_59,resnet50,lime,EX,2,0.013821095060216781,0.027265353083614552
IDRiD_59,resnet50,lime,SE,2,0.009191910227547236,0.018216377151645403
IDRiD_60,resnet50,lime,MA,2,0.000447859302356897,0.0008953176283853575
IDRiD_60,resnet50,lime,HE,2,0.00044758290698316525,0.0008947653322978329
IDRiD_60,resnet50,lime,EX,2,0.0029210230199636813,0.0058250309903126575
IDRiD_60,resnet50,lime,SE,2,0.0003356846801904078,0.0006711440675991219
IDRiD_61,resnet50,lime,MA,3,0.0024029715755653374,0.004794422290644998
IDRiD_61,resnet50,lime,HE,3,0.14540880912113993,0.2538985346772574
IDRiD_61,resnet50,lime,EX,3,0.006032575395193841,0.01199280330027902
IDRiD_61,resnet50,lime,SE,3,0.005716867990713906,0.01136874238200943
IDRiD_62,resnet50,lime,MA,2,0.0001621532948035232,0.0003242540107508499
IDRiD_62,resnet50,lime,HE,2,0.0023315553519421446,0.004652263693570898
IDRiD_62,resnet50,lime,EX,2,0.01528764291002708,0.030114899982845243
IDRiD_63,resnet50,lime,MA,2,0.0,0.0
IDRiD_63,resnet50,lime,HE,2,0.0,0.0
IDRiD_63,resnet50,lime,EX,2,0.0,0.0
IDRiD_64,resnet50,lime,MA,2,0.0017051160660042403,0.003404427188513804
IDRiD_64,resnet50,lime,HE,2,0.0019390466861283983,0.0038705881211870408
IDRiD_64,resnet50,lime,EX,2,0.013670610544989269,0.026972490674538566
IDRiD_64,resnet50,lime,SE,2,0.0,0.0
IDRiD_65,resnet50,lime,MA,3,0.0017601275379600407,0.003514069864780765
IDRiD_65,resnet50,lime,HE,3,0.004658344060611322,0.009273489018731096
IDRiD_65,resnet50,lime,EX,3,0.010549998777237045,0.020879716570189534
IDRiD_66,resnet50,lime,MA,2,0.0016382147906851732,0.003271070864698418
IDRiD_66,resnet50,lime,HE,2,0.00011400384798173312,0.0002279817051718072
IDRiD_66,resnet50,lime,EX,2,0.10640055189406326,0.19233640422885653
IDRiD_67,resnet50,lime,MA,4,0.0025824306367249576,0.00515155773293353
IDRiD_67,resnet50,lime,HE,4,0.05394842855890779,0.10237394372829596
IDRiD_67,resnet50,lime,EX,4,0.008293992926148491,0.016451536921446238
IDRiD_67,resnet50,lime,SE,4,0.006663450575028918,0.013238685821408545
IDRiD_68,resnet50,lime,MA,4,0.0,0.0
IDRiD_68,resnet50,lime,HE,4,0.06261492823617662,0.11785064668743263
IDRiD_68,resnet50,lime,EX,4,0.0,0.0
IDRiD_68,resnet50,lime,SE,4,0.0,0.0
IDRiD_69,resnet50,lime,MA,4,0.0005034442178734111,0.0010063817786593828
