image_id,model,method,lesion_type,predicted_grade,iou,dice
IDRiD_55,resnet50,shap,MA,2,0.0014957466918714556,0.002987025550157727
IDRiD_55,resnet50,shap,HE,2,0.013962591553842739,0.027540644339641415
IDRiD_55,resnet50,shap,EX,2,0.054880859631904325,0.10405129476148565
IDRiD_55,resnet50,shap,SE,2,0.0008939655429845272,0.0017863341647774873
IDRiD_56,resnet50,shap,MA,3,0.001565827028496353,0.003126758094656523
IDRiD_56,resnet50,shap,HE,3,0.02172413154205381,0.04252445620378234
IDRiD_56,resnet50,shap,EX,3,0.0019709636503378457,0.003934173188327365
IDRiD_56,resnet50,shap,SE,3,0.0047250007871142904,0.00940556029443413
IDRiD_57,resnet50,shap,MA,2,0.00022503879553641514,0.00044997632894174536
IDRiD_57,resnet50,shap,HE,2,8.265713491453829e-05,0.00016530060655453913
IDRiD_57,resnet50,shap,EX,2,0.004849659735388129,0.009652508090942109
IDRiD_58,resnet50,shap,MA,2,0.0012594535843604608,0.002515738712582046
IDRiD_58,resnet50,shap,HE,2,0.012898316774745889,0.025468137445062593
IDRiD_58,resnet50,shap,EX,2,0.00856521636529623,0.016984952933760428
IDRiD_59,resnet50,shap,MA,2,0.001991005594518324,0.0039740987362196665
IDRiD_59,resnet50,shap,HE,2,0.008720096035934122,0.01728942661141051
IDRiD_59,resnet50,shap,EX,2,0.008150070364927705,0.01616836739787671
IDRiD_59,resnet50,shap,SE,2,0.02722870660054784,0.053013912920438076
IDRiD_60,resnet50,shap,MA,2,0.001456163852879321,0.0029080930457845607
IDRiD_60,resnet50,shap,HE,2,0.007406582130579045,0.014704255981561595
IDRiD_60,resnet50,shap,EX,2,0.004894861439910876,0.0097420369587661
IDRiD_60,resnet50,shap,SE,2,0.007106684804355986,0.014113072451180392
IDRiD_61,resnet50,shap,MA,3,0.0031359523418140953,0.006252297775776525
IDRiD_61,resnet50,shap,HE,3,0.053443090580074716,0.10146365011639398
IDRiD_61,resnet50,shap,EX,3,0.004343188730568189,0.008648814029510626
IDRiD_61,resnet50,shap,SE,3,0.0006255684048005678,0.0012503546272515308
