image_id,model,method,lesion_type,predicted_grade,iou,dice
IDRiD_55,efficientnetb4,lime,MA,2,0.000583139580055958,0.0011655994529364171
IDRiD_55,efficientnetb4,lime,HE,2,0.002120591652064449,0.004232208518075671
IDRiD_55,efficientnetb4,lime,EX,2,0.05673763313268049,0.10738262999962016
IDRiD_55,efficientnetb4,lime,SE,2,0.0,0.0
IDRiD_56,efficientnetb4,lime,MA,3,0.0009937287815918521,0.0019854845300607774
IDRiD_56,efficientnetb4,lime,HE,3,0.00030788561234228054,0.0006155816959371608
IDRiD_56,efficientnetb4,lime,EX,3,0.0002501191882516786,0.0005001132885735853
IDRiD_56,efficientnetb4,lime,SE,3,0.006778237792885432,0.013465205222840448
IDRiD_57,efficientnetb4,lime,MA,2,0.00047706386216854306,0.0009536727615262274
IDRiD_57,efficientnetb4,lime,HE,2,0.0,0.0
IDRiD_57,efficientnetb4,lime,EX,2,0.005733916844064236,0.011402452970974551
IDRiD_58,efficientnetb4,lime,MA,3,0.00017530958078242715,0.0003505577054404735
IDRiD_58,efficientnetb4,lime,HE,3,0.017104127130669677,0.03363299130231977
IDRiD_58,efficientnetb4,lime,EX,3,0.006115259154968755,0.012156180118180359
IDRiD_59,efficientnetb4,lime,MA,3,0.0009956340519213882,0.001989287501467254
IDRiD_59,efficientnetb4,lime,HE,3,0.0006850397072045803,0.0013691414981181682
IDRiD_59,efficientnetb4,lime,EX,3,0.005481047427211134,0.010902338619381918
IDRiD_59,efficientnetb4,lime,SE,3,0.03576367591267407,0.0690575982618053
IDRiD_60,efficientnetb4,lime,MA,3,0.001029540471104168,0.002056963215330581
IDRiD_60,efficientnetb4,lime,HE,3,0.0,0.0
IDRiD_60,efficientnetb4,lime,EX,3,0.010887504317899773,0.02154048649606399
IDRiD_60,efficientnetb4,lime,SE,3,0.005936205975431615,0.011802350765723602
IDRiD_61,efficientnetb4,lime,MA,3,0.0006841840262302664,0.0013674324770028192
IDRiD_61,efficientnetb4,lime,HE,3,0.0900339444048622,0.16519475355241167
IDRiD_61,efficientnetb4,lime,EX,3,0.0,0.0
IDRiD_61,efficientnetb4,lime,SE,3,0.01448968403250994,0.028565463524310435
IDRiD_62,efficientnetb4,lime,MA,2,0.0003076654429342968,0.0006151416280471331
IDRiD_62,efficientnetb4,lime,HE,2,0.003222055834050865,0.006423415066113429
IDRiD_62,efficientnetb4,lime,EX,2,0.0041257181872988895,0.008217533148631738
IDRiD_63,efficientnetb4,lime,MA,2,0.0,0.0
IDRiD_63,efficientnetb4,lime,HE,2,0.0038067369509842677,0.007584601319865719
IDRiD_63,efficientnetb4,lime,EX,2,0.00229412584698776,0.004577749759930223
IDRiD_64,efficientnetb4,lime,MA,2,0.002147609036414727,0.004286013391739161
IDRiD_64,efficientnetb4,lime,HE,2,0.003820493161243755,0.007611905091142762
IDRiD_64,efficientnetb4,lime,EX,2,0.0019280842661716002,0.003848747822222711
IDRiD_64,efficientnetb4,lime,SE,2,0.0,0.0
IDRiD_65,efficientnetb4,lime,MA,4,0.0017350035723108068,0.0034639970972833527
IDRiD_65,efficientnetb4,lime,HE,4,2.439226667577311e-06,4.878441435530177e-06
IDRiD_65,efficientnetb4,lime,EX,4,0.0051819516260620604,0.010310474870105505
IDRiD_66,efficientnetb4,lime,MA,3,0.0007637569531960906,0.0015263481473816204
IDRiD_66,efficientnetb4,lime,HE,3,0.008195198167552173,0.016257165641033355
IDRiD_66,efficientnetb4,lime,EX,3,0.05336774007614482,0.10132784220691443
IDRiD_67,efficientnetb4,lime,MA,4,0.0008585188515569188,0.0017155648583418825
IDRiD_67,efficientnetb4,lime,HE,4,0.018392261104215324,0.036120190238431486
IDRiD_67,efficientnetb4,lime,EX,4,0.0015573915122843855,0.00310993963098376
IDRiD_67,efficientnetb4,lime,SE,4,0.00247976409317885,0.004947260148282374
IDRiD_68,efficientnetb4,lime,MA,4,0.0,0.0
IDRiD_68,efficientnetb4,lime,HE,4,0.0,0.0
IDRiD_68,efficientnetb4,lime,EX,4,0.0,0.0
IDRiD_68,efficientnetb4,lime,SE,4,0.008130991484676341,0.016130823381794494
IDRiD_69,efficientnetb4,lime,MA,4,0.000570506945893711,0.0011403633066001645
IDRiD_69,efficientnetb4,lime,HE,4,0.012523526730888988,0.02473725577779591
IDRiD_69,efficientnetb4,lime,EX,4,0.0039865098581805605,0.007941361400849261
IDRiD_70,efficientnetb4,lime,MA,3,0.0,0.0
IDRiD_70,efficientnetb4,lime,HE,3,0.012823189258591428,0.02532167390041352
IDRiD_70,efficientnetb4,lime,EX,3,0.0006762570178404636,0.0013516000066910892
IDRiD_70,efficientnetb4,lime,SE,3,0.0,0.0
IDRiD_71,efficientnetb4,lime,MA,2,0.0028762161366961392,0.005735934486064428
IDRiD_71,efficientnetb4,lime,HE,2,0.0,0.0
IDRiD_71,efficientnetb4,lime,EX,2,0.00916433744607567,0.018162230086862068
IDRiD_71,efficientnetb4,lime,SE,2,0.0,0.0
IDRiD_72,efficientnetb4,lime,MA,2,0.0011851614819555461,0.0023675170738672725
IDRiD_72,efficientnetb4,lime,HE,2,0.0007559015477102698,0.0015106611842932666
IDRiD_72,efficientnetb4,lime,EX,2,0.012412885552765505,0.024521389899118513
IDRiD_72,efficientnetb4,lime,SE,2,0.0,0.0
IDRiD_73,efficientnetb4,lime,MA,2,0.001983153016945159,0.003958455810307662
IDRiD_73,efficientnetb4,lime,HE,2,0.005694161965023357,0.011323844127517949
IDRiD_73,efficientnetb4,lime,EX,2,0.0009913709939278527,0.001980778301701996
IDRiD_73,efficientnetb4,lime,SE,2,0.003973561190056036,0.007915668985039787
IDRiD_74,efficientnetb4,lime,MA,3,0.0020145018657344517,0.004020903613637292
IDRiD_74,efficientnetb4,lime,HE,3,7.593180985999862e-05,0.00015185208931602445
IDRiD_74,efficientnetb4,lime,EX,3,0.0017554436804930044,0.003504734996085328
IDRiD_74,efficientnetb4,lime,SE,3,0.0,0.0
