image_id,model,method,lesion_type,predicted_grade,iou,dice
IDRiD_55,efficientnetb4,lime,MA,2,0.0005147421719341218,0.0010289546974924346
IDRiD_55,efficientnetb4,lime,HE,2,0.002083290446095889,0.004157918739805498
IDRiD_55,efficientnetb4,lime,EX,2,0.0534969144038015,0.10156064753939342
IDRiD_55,efficientnetb4,lime,SE,2,0.0,0.0
IDRiD_56,efficientnetb4,lime,MA,3,0.0013527898080618374,0.002701924480224674
IDRiD_56,efficientnetb4,lime,HE,3,0.00030740262861329333,0.0006146163225534451
IDRiD_56,efficientnetb4,lime,EX,3,0.0002546944519933779,0.0005092591984942729
IDRiD_56,efficientnetb4,lime,SE,3,0.008689049187579687,0.017228399960479472
IDRiD_57,efficientnetb4,lime,MA,2,0.0007362923080462944,0.001471501161106385
IDRiD_57,efficientnetb4,lime,HE,2,0.0,0.0
IDRiD_57,efficientnetb4,lime,EX,2,0.008675977527071723,0.017202704774118345
IDRiD_58,efficientnetb4,lime,MA,3,0.0001454414952141248,0.000290840690123409
IDRiD_58,efficientnetb4,lime,HE,3,0.02268443124535405,0.044362523868150656
IDRiD_58,efficientnetb4,lime,EX,3,0.010035235065648965,0.019871059379421963
IDRiD_59,efficientnetb4,lime,MA,3,0.0013033864057843537,0.0026033796019863825
IDRiD_59,efficientnetb4,lime,HE,3,0.0014934544229500885,0.002982454685758483
IDRiD_59,efficientnetb4,lime,EX,3,0.004610528708904717,0.009178738580074468
IDRiD_59,efficientnetb4,lime,SE,3,0.029454885555035958,0.05722423773656716
IDRiD_60,efficientnetb4,lime,MA,3,0.001146913995668267,0.0022912001817811715
IDRiD_60,efficientnetb4,lime,HE,3,0.00023349769457060206,0.0004668863722496574
IDRiD_60,efficientnetb4,lime,EX,3,0.005767385831656244,0.011468627662622537
IDRiD_60,efficientnetb4,lime,SE,3,0.002595179424845007,0.005176923803551048
IDRiD_61,efficientnetb4,lime,MA,3,0.0035841519283542913,0.007142703322820433
IDRiD_61,efficientnetb4,lime,HE,3,0.11933067659093452,0.21321791511043267
IDRiD_61,efficientnetb4,lime,EX,3,0.0016030235955532038,0.0032009160471554326
IDRiD_61,efficientnetb4,lime,SE,3,0.008785282885417429,0.017417547687232273
IDRiD_62,efficientnetb4,lime,MA,2,0.0004750156591545335,0.0009495802528193539
IDRiD_62,efficientnetb4,lime,HE,2,0.00317358822820418,0.006327096856306478
IDRiD_62,efficientnetb4,lime,EX,2,0.004896097507486995,0.009744485065930942
IDRiD_63,efficientnetb4,lime,MA,2,0.00043238930214019555,0.00086440484487275
IDRiD_63,efficientnetb4,lime,HE,2,0.002259413002477594,0.004508639127087967
IDRiD_63,efficientnetb4,lime,EX,2,0.009635911489978345,0.019087893725487776
IDRiD_64,efficientnetb4,lime,MA,2,0.001670666196791799,0.0033357594530248006
IDRiD_64,efficientnetb4,lime,HE,2,0.0029419016140603245,0.005866544431588403
IDRiD_64,efficientnetb4,lime,EX,2,0.001915652406433179,0.0038239793975313264
IDRiD_64,efficientnetb4,lime,SE,2,0.0,0.0
IDRiD_65,efficientnetb4,lime,MA,4,0.002397706747803586,0.004783943003187322
IDRiD_65,efficientnetb4,lime,HE,4,0.0,0.0
IDRiD_65,efficientnetb4,lime,EX,4,0.011489728933390626,0.02271842927264614
IDRiD_66,efficientnetb4,lime,MA,3,0.0006644223392991866,0.0013279623507467888
IDRiD_66,efficientnetb4,lime,HE,3,0.007318909617124365,0.01453146475708718
IDRiD_66,efficientnetb4,lime,EX,3,0.050919039872048315,0.09690382977217316
IDRiD_67,efficientnetb4,lime,MA,4,0.0009365040742081556,0.0018712557098201793
IDRiD_67,efficientnetb4,lime,HE,4,0.02070766077976895,0.04057510602781084
IDRiD_67,efficientnetb4,lime,EX,4,0.0014234942320295598,0.0028429415531562047
IDRiD_67,efficientnetb4,lime,SE,4,0.0022804009056031117,0.004550425017874583
IDRiD_68,efficientnetb4,lime,MA,4,0.0,0.0
IDRiD_68,efficientnetb4,lime,HE,4,0.013507962416784213,0.026655858498779793
IDRiD_68,efficientnetb4,lime,EX,4,0.0004810215147804793,0.000961580488657721
IDRiD_68,efficientnetb4,lime,SE,4,0.006358224062097509,0.012636104937728763
IDRiD_69,efficientnetb4,lime,MA,4,0.0012806955050426341,0.0025581148439032986
IDRiD_69,efficientnetb4,lime,HE,4,0.015085596099578788,0.02972280595359548
IDRiD_69,efficientnetb4,lime,EX,4,0.00799409277123634,0.015861388134246923
IDRiD_70,efficientnetb4,lime,MA,3,0.000653276737385957,0.0013057004910151406
IDRiD_70,efficientnetb4,lime,HE,3,0.009269101084517166,0.01836794780412278
IDRiD_70,efficientnetb4,lime,EX,3,0.00038914074254002323,0.0007779787418547608
IDRiD_70,efficientnetb4,lime,SE,3,0.013227753367775577,0.02611012839671841
IDRiD_71,efficientnetb4,lime,MA,2,0.001869896230788432,0.003732812489572373
IDRiD_71,efficientnetb4,lime,HE,2,0.0002467345767304621,0.0004933474275921961
IDRiD_71,efficientnetb4,lime,EX,2,0.01304464393603738,0.02575334466081241
IDRiD_71,efficientnetb4,lime,SE,2,0.01295975354334147,0.02558789428308113
IDRiD_72,efficientnetb4,lime,MA,2,0.002093855015675208,0.004178959895213518
IDRiD_72,efficientnetb4,lime,HE,2,0.0005319999812419203,0.0010634342155011421
IDRiD_72,efficientnetb4,lime,EX,2,0.012362629325896383,0.024423322172862718
IDRiD_72,efficientnetb4,lime,SE,2,0.0,0.0
IDRiD_73,efficientnetb4,lime,MA,2,0.001582087680456876,0.003159177265481654
IDRiD_73,efficientnetb4,lime,HE,2,0.005289039124375047,0.010522424732655786
IDRiD_73,efficientnetb4,lime,EX,2,0.0010099239818608015,0.0020178101288816034
IDRiD_73,efficientnetb4,lime,SE,2,0.006014980508583292,0.01195803367767439
IDRiD_74,efficientnetb4,lime,MA,3,0.0020057256435313084,0.004003421521854369
IDRiD_74,efficientnetb4,lime,HE,3,0.00074818046985045,0.0014952422286677151
IDRiD_74,efficientnetb4,lime,EX,3,0.0028334536224036942,0.005650895693933586
IDRiD_74,efficientnetb4,lime,SE,3,0.0,0.0
IDRiD_75,efficientnetb4,lime,MA,3,0.00407596865049824,0.008118845142716517
IDRiD_75,efficientnetb4,lime,HE,3,0.01059369621629976,0.020965292492844456
IDRiD_75,efficientnetb4,lime,EX,3,0.001717794496456754,0.0034296974774622123
IDRiD_75,efficientnetb4,lime,SE,3,0.0,0.0
IDRiD_76,efficientnetb4,lime,MA,4,0.0025630112048409016,0.005112917943702661
IDRiD_76,efficientnetb4,lime,HE,4,0.020162707233582204,0.03952841461585723
IDRiD_76,efficientnetb4,lime,EX,4,0.0019252735464282604,0.0038431479817123207
IDRiD_77,efficientnetb4,lime,MA,2,0.001709219465296964,0.0034126060379265142
IDRiD_77,efficientnetb4,lime,HE,2,0.00422466538404439,0.00841378534041236
IDRiD_77,efficientnetb4,lime,EX,2,0.010950430153096165,0.021663634193098576
IDRiD_78,efficientnetb4,lime,MA,3,0.0014914610165069786,0.0029784797465834726
IDRiD_78,efficientnetb4,lime,HE,3,0.019249543045169477,0.03777199249490643
IDRiD_78,efficientnetb4,lime,EX,3,0.013374472779059326,0.026395914123199533
IDRiD_79,efficientnetb4,lime,MA,3,0.0020957787744394323,0.004182791343563115
IDRiD_79,efficientnetb4,lime,HE,3,0.019323811287559608,0.037914961023329224
IDRiD_79,efficientnetb4,lime,EX,3,0.01982328093911282,0.0388759137188129
IDRiD_80,efficientnetb4,lime,MA,1,6.016033902304297e-05,0.0001203134399487496
IDRiD_80,efficientnetb4,lime,HE,1,0.0,0.0
IDRiD_80,efficientnetb4,lime,EX,1,0.0004756270382275486,0.0009508018493875316
IDRiD_81,efficientnetb4,lime,MA,3,0.0004069581326921898,0.0008135851702826953
IDRiD_81,efficientnetb4,lime,HE,3,0.0041504213306502325,0.008266533066132264
IDRiD_81,efficientnetb4,lime,EX,3,0.002037431427926167,0.004066577483084201
