image_id,model,method,lesion_type,predicted_grade,iou,dice
IDRiD_55,resnet50,gradcam,MA,2,0.0020072698376481604,0.004006497553602363
IDRiD_55,resnet50,gradcam,HE,2,0.01597774984316597,0.031452952282926314
IDRiD_55,resnet50,gradcam,EX,2,0.030774418499269464,0.059711257763021934
IDRiD_55,resnet50,gradcam,SE,2,0.0007300489837728005,0.001459032802131114
IDRiD_56,resnet50,gradcam,MA,3,0.0,0.0
IDRiD_56,resnet50,gradcam,HE,3,0.0,0.0
IDRiD_56,resnet50,gradcam,EX,3,0.0,0.0
IDRiD_56,resnet50,gradcam,SE,3,0.15483155681154007,0.2681456977830186
IDRiD_57,resnet50,gradcam,MA,2,0.0007484363523048501,0.001495753228519399
IDRiD_57,resnet50,gradcam,HE,2,0.0,0.0
IDRiD_57,resnet50,gradcam,EX,2,0.0013760791982278299,0.0027483764128450436
IDRiD_58,resnet50,gradcam,MA,2,0.0008182458915687819,0.0016351538252379798
IDRiD_58,resnet50,gradcam,HE,2,0.01283848496995912,0.025351495150463033
IDRiD_58,resnet50,gradcam,EX,2,0.019612446620023368,0.038470394677973745
IDRiD_59,resnet50,gradcam,MA,2,9.58501071020762e-05,0.0001916818414791171
IDRiD_59,resnet50,gradcam,HE,2,0.005430986167179745,0.010803299762787894
IDRiD_59,resnet50,gradcam,EX,2,0.022848180921669084,0.044675605525506284
IDRiD_59,resnet50,gradcam,SE,2,0.018849650156477424,0.037001828785203875
IDRiD_60,resnet50,gradcam,MA,2,0.002037625233969786,0.00406696352044468
IDRiD_60,resnet50,gradcam,HE,2,0.013349337989233231,0.026346961484618975
IDRiD_60,resnet50,gradcam,EX,2,0.005756849408102245,0.011447795580989992
IDRiD_60,resnet50,gradcam,SE,2,0.02556633384030021,0.049857981871470766
IDRiD_61,resnet50,gradcam,MA,3,0.0012113734442771092,0.0024198155882106127
IDRiD_61,resnet50,gradcam,HE,3,0.14227374807075957,0.24910622048533018
IDRiD_61,resnet50,gradcam,EX,3,0.0015839119312991048,0.0031628142433816346
IDRiD_61,resnet50,gradcam,SE,3,0.007962167388093785,0.015798544123388963
IDRiD_62,resnet50,gradcam,MA,2,0.0003756617544290248,0.0007510413713388437
IDRiD_62,resnet50,gradcam,HE,2,0.0,0.0
IDRiD_62,resnet50,gradcam,EX,2,0.0032655395788717596,0.006509821079357503
IDRiD_63,resnet50,gradcam,MA,2,0.0006079505780020134,0.0012151623973222087
IDRiD_63,resnet50,gradcam,HE,2,0.0,0.0
IDRiD_63,resnet50,gradcam,EX,2,0.03534624547536863,0.06827908176581017
