image_id,model,method,lesion_type,predicted_grade,iou,dice
IDRiD_55,resnet50,gradcam,MA,2,0.0015949085493839456,0.0031847377333294583
IDRiD_55,resnet50,gradcam,HE,2,0.015685105913571584,0.030885765326771047
IDRiD_55,resnet50,gradcam,EX,2,0.07540423199747709,0.1402342110136944
IDRiD_55,resnet50,gradcam,SE,2,0.00043388866588427795,0.0008674009763161554
IDRiD_56,resnet50,gradcam,MA,3,0.0,0.0
IDRiD_56,resnet50,gradcam,HE,3,0.0,0.0
IDRiD_56,resnet50,gradcam,EX,3,0.0,0.0
IDRiD_56,resnet50,gradcam,SE,3,0.16271091142891353,0.2798819720870254
IDRiD_57,resnet50,gradcam,MA,2,0.0006927294312150577,0.001384499778685909
IDRiD_57,resnet50,gradcam,HE,2,0.0,0.0
IDRiD_57,resnet50,gradcam,EX,2,0.0018388265070686449,0.0036709028606522484
IDRiD_58,resnet50,gradcam,MA,2,0.0012325992148196512,0.0024621635687576944
IDRiD_58,resnet50,gradcam,HE,2,0.008752699221271235,0.017353508403056713
IDRiD_58,resnet50,gradcam,EX,2,0.05829280188987853,0.11016384461045259
IDRiD_59,resnet50,gradcam,MA,2,0.00011109091886076263,0.0002221571580787028
IDRiD_59,resnet50,gradcam,HE,2,0.006269173632903492,0.012460231908466563
IDRiD_59,resnet50,gradcam,EX,2,0.02357438505517491,0.04606286636198727
IDRiD_59,resnet50,gradcam,SE,2,0.020844349517568233,0.04083746856691498
IDRiD_60,resnet50,gradcam,MA,2,0.0019301695922234888,0.003852902429336069
IDRiD_60,resnet50,gradcam,HE,2,0.008757870655784877,0.017363672513586358
IDRiD_60,resnet50,gradcam,EX,2,0.00694958697188064,0.013803247077700444
IDRiD_60,resnet50,gradcam,SE,2,0.02587638914016148,0.05044738218773079
IDRiD_61,resnet50,gradcam,MA,3,0.001832362533932464,0.0036580222449549807
IDRiD_61,resnet50,gradcam,HE,3,0.14724067168561672,0.25668663135744496
IDRiD_61,resnet50,gradcam,EX,3,0.0016002824160907775,0.003195451207802233
IDRiD_61,resnet50,gradcam,SE,3,0.006779893661436161,0.013468472511462631
IDRiD_62,resnet50,gradcam,MA,2,0.00038306105409225305,0.0007658287490166537
IDRiD_62,resnet50,gradcam,HE,2,0.0,0.0
IDRiD_62,resnet50,gradcam,EX,2,0.0028578397495833165,0.005699391551442481
IDRiD_63,resnet50,gradcam,MA,2,0.0,0.0
IDRiD_63,resnet50,gradcam,HE,2,0.0,0.0
IDRiD_63,resnet50,gradcam,EX,2,0.0,0.0
IDRiD_64,resnet50,gradcam,MA,2,0.0014718701681134818,0.00293941390059494
IDRiD_64,resnet50,gradcam,HE,2,0.003963097172586909,0.00789490606526871
IDRiD_64,resnet50,gradcam,EX,2,0.006586995825453719,0.013087782482331872
IDRiD_64,resnet50,gradcam,SE,2,0.006734336714506253,0.013378577582808727
IDRiD_65,resnet50,gradcam,MA,3,0.0029612106291701645,0.005904935500571472
IDRiD_65,resnet50,gradcam,HE,3,0.0,0.0
IDRiD_65,resnet50,gradcam,EX,3,0.016222275750894032,0.03192662892359307
IDRiD_66,resnet50,gradcam,MA,2,0.001279479573199572,0.0025556891942796166
IDRiD_66,resnet50,gradcam,HE,2,0.0,0.0
IDRiD_66,resnet50,gradcam,EX,2,0.15317677736921523,0.2656605307620971
IDRiD_67,resnet50,gradcam,MA,4,0.002427481631400669,0.004843206468063034
IDRiD_67,resnet50,gradcam,HE,4,0.09924762130316861,0.18057372948509928
IDRiD_67,resnet50,gradcam,EX,4,0.005995126715858217,0.011918798723070816
IDRiD_67,resnet50,gradcam,SE,4,0.018535904650100892,0.03639715510366531
IDRiD_68,resnet50,gradcam,MA,4,0.0,0.0
IDRiD_68,resnet50,gradcam,HE,4,0.052660229388680986,0.10005171263905874
IDRiD_68,resnet50,gradcam,EX,4,0.0,0.0
IDRiD_68,resnet50,gradcam,SE,4,0.0,0.0
IDRiD_69,resnet50,gradcam,MA,4,0.0013699990072470962,0.002736249355593449
IDRiD_69,resnet50,gradcam,HE,4,0.057529263098980765,0.10879937814750804
IDRiD_69,resnet50,gradcam,EX,4,0.011052130231952258,0.02186263180992797
IDRiD_70,resnet50,gradcam,MA,3,0.0018950044293802718,0.0037828403595236084
IDRiD_70,resnet50,gradcam,HE,3,0.035880004863024804,0.06927444239599787
IDRiD_70,resnet50,gradcam,EX,3,0.0010589136278869352,0.0021155870318348797
IDRiD_70,resnet50,gradcam,SE,3,0.00030387952864908665,0.0006075744278674137
IDRiD_71,resnet50,gradcam,MA,2,0.0029481033590004844,0.005878875186317043
IDRiD_71,resnet50,gradcam,HE,2,0.002811271288980901,0.005606780397207512
IDRiD_71,resnet50,gradcam,EX,2,0.005360492953430767,0.010663822561165768
IDRiD_71,resnet50,gradcam,SE,2,0.0018140234653563725,0.0036214774855746527
IDRiD_72,resnet50,gradcam,MA,2,0.0005799468579307733,0.001159221429036131
IDRiD_72,resnet50,gradcam,HE,2,0.00031697773869700355,0.000633754591296769
