image_id,model,method,lesion_type,predicted_grade,iou,dice
IDRiD_55,resnet50,shap,MA,2,0.0009339328951919751,0.0018661229567681515
IDRiD_55,resnet50,shap,HE,2,0.014037543438581624,0.02768643731075397
IDRiD_55,resnet50,shap,EX,2,0.04986592414769894,0.09499484267608942
IDRiD_55,resnet50,shap,SE,2,0.0019072087111033885,0.0038071563803935577
IDRiD_56,resnet50,shap,MA,3,0.002643565703622592,0.005273191379366054
IDRiD_56,resnet50,shap,HE,3,0.006623243454022905,0.013159329465305396
IDRiD_56,resnet50,shap,EX,3,0.002350019105846389,0.004689018927625184
IDRiD_56,resnet50,shap,SE,3,0.0010831235502712754,0.002163903325889769
IDRiD_57,resnet50,shap,MA,2,0.0001282337714874192,0.0002564346593913246
IDRiD_57,resnet50,shap,HE,2,0.0,0.0
IDRiD_57,resnet50,shap,EX,2,0.005713025117393086,0.011361143735264293
IDRiD_58,resnet50,shap,MA,2,0.001420383940473411,0.0028367386229634444
IDRiD_58,resnet50,shap,HE,2,0.014094372081592529,0.027796963418032887
IDRiD_58,resnet50,shap,EX,2,0.007856296480854306,0.01559011241639556
IDRiD_59,resnet50,shap,MA,2,0.023544019675732466,0.04600489910183133
IDRiD_59,resnet50,shap,HE,2,0.0,0.0
IDRiD_59,resnet50,shap,EX,2,0.0,0.0
IDRiD_59,resnet50,shap,SE,2,0.0,0.0
IDRiD_60,resnet50,shap,MA,2,0.0016572120594046784,0.0033089405027044226
IDRiD_60,resnet50,shap,HE,2,0.011282780893085067,0.022313800069098392
IDRiD_60,resnet50,shap,EX,2,0.004536975584633754,0.009032968810318336
IDRiD_60,resnet50,shap,SE,2,0.0011658789040444998,0.0023290424266571358
IDRiD_61,resnet50,shap,MA,3,0.005302099871191924,0.010548271752085817
IDRiD_61,resnet50,shap,HE,3,0.002412529134709554,0.004813445691450142
IDRiD_61,resnet50,shap,EX,3,0.0,0.0
IDRiD_61,resnet50,shap,SE,3,0.0,0.0
IDRiD_62,resnet50,shap,MA,2,0.0,0.0
IDRiD_62,resnet50,shap,HE,2,0.0,0.0
IDRiD_62,resnet50,shap,EX,2,0.0,0.0
IDRiD_63,resnet50,shap,MA,2,0.0,0.0
