image_id,model,method,lesion_type,predicted_grade,iou,dice,low_rank_correlation
IDRiD_56,efficientnetb4,gradcam,EX,3,0.0,0.0,False
IDRiD_57,efficientnetb4,gradcam,EX,2,0.0001536541335837,0.0003072610552363,False
IDRiD_70,efficientnetb4,gradcam,EX,3,0.0004339735389746,0.0008675705752765,False
IDRiD_61,efficientnetb4,gradcam,EX,3,0.0005794887896385,0.0011583063537301,False
IDRiD_68,efficientnetb4,gradcam,EX,4,0.0007108060989537,0.0014206024250395,False
IDRiD_57,efficientnetb4,gradcam,HE,2,0.0,0.0,False
IDRiD_59,efficientnetb4,gradcam,HE,3,0.0,0.0,False
IDRiD_63,efficientnetb4,gradcam,HE,2,0.0,0.0,False
IDRiD_64,efficientnetb4,gradcam,HE,2,0.0,0.0,False
IDRiD_80,efficientnetb4,gradcam,HE,1,0.0,0.0,False
IDRiD_56,efficientnetb4,gradcam,MA,3,0.0,0.0,False
IDRiD_59,efficientnetb4,gradcam,MA,3,0.0,0.0,False
IDRiD_68,efficientnetb4,gradcam,MA,4,0.0,0.0,False
IDRiD_60,efficientnetb4,gradcam,MA,3,9.651394450377742e-05,0.0001930092609224,False
IDRiD_80,efficientnetb4,gradcam,MA,1,0.000122414561465,0.0002447991559486,False
IDRiD_61,efficientnetb4,gradcam,SE,3,0.0,0.0,False
IDRiD_64,efficientnetb4,gradcam,SE,2,0.0,0.0,False
IDRiD_68,efficientnetb4,gradcam,SE,4,0.0,0.0,False
IDRiD_72,efficientnetb4,gradcam,SE,2,0.0,0.0,False
IDRiD_74,efficientnetb4,gradcam,SE,3,0.0,0.0,False
