image_id,model,method,lesion_type,predicted_grade,iou,dice,low_rank_correlation
IDRiD_61,efficientnetb4,lime,EX,3,0.0,0.0,False
IDRiD_68,efficientnetb4,lime,EX,4,0.0,0.0,False
IDRiD_56,efficientnetb4,lime,EX,3,0.0002501191882516,0.0005001132885735,False
IDRiD_75,efficientnetb4,lime,EX,3,0.0004526646211242,0.0009049196171528,False
IDRiD_80,efficientnetb4,lime,EX,1,0.0006692515916084,0.0013376079869426,False
IDRiD_57,efficientnetb4,lime,HE,2,0.0,0.0,False
IDRiD_60,efficientnetb4,lime,HE,3,0.0,0.0,False
IDRiD_68,efficientnetb4,lime,HE,4,0.0,0.0,False
IDRiD_71,efficientnetb4,lime,HE,2,0.0,0.0,False
IDRiD_80,efficientnetb4,lime,HE,1,0.0,0.0,False
IDRiD_63,efficientnetb4,lime,MA,2,0.0,0.0,False
IDRiD_68,efficientnetb4,lime,MA,4,0.0,0.0,False
IDRiD_70,efficientnetb4,lime,MA,3,0.0,0.0,False
IDRiD_81,efficientnetb4,lime,MA,3,0.0,0.0,False
IDRiD_80,efficientnetb4,lime,MA,1,9.577688274836767e-05,0.0001915354208311,False
IDRiD_55,efficientnetb4,lime,SE,2,0.0,0.0,False
IDRiD_64,efficientnetb4,lime,SE,2,0.0,0.0,False
IDRiD_70,efficientnetb4,lime,SE,3,0.0,0.0,False
IDRiD_71,efficientnetb4,lime,SE,2,0.0,0.0,False
IDRiD_72,efficientnetb4,lime,SE,2,0.0,0.0,False
