model,method,rank,image_id,predicted_grade,mean_iou
efficientnetb4,shap,1,IDRiD_80,1,0.0010522820655594742
efficientnetb4,shap,2,IDRiD_63,2,0.0013516159892839332
efficientnetb4,shap,3,IDRiD_57,2,0.0022148145427408335
efficientnetb4,shap,4,IDRiD_62,2,0.0023901272069777667
efficientnetb4,shap,5,IDRiD_64,2,0.003162998899680025
efficientnetb4,shap,6,IDRiD_73,2,0.0032235555457549
efficientnetb4,shap,7,IDRiD_81,3,0.0033964784019836665
efficientnetb4,shap,8,IDRiD_78,3,0.0040927779648227336
efficientnetb4,shap,9,IDRiD_70,3,0.005130946868901851
efficientnetb4,shap,10,IDRiD_74,3,0.0056988407189682
efficientnetb4,shap,11,IDRiD_77,2,0.006135467985742334
efficientnetb4,shap,12,IDRiD_59,3,0.0063199134505549995
efficientnetb4,shap,13,IDRiD_60,3,0.0068708901298562
efficientnetb4,shap,14,IDRiD_68,4,0.0069400808278923505
efficientnetb4,shap,15,IDRiD_75,3,0.007028106002787149
efficientnetb4,shap,16,IDRiD_56,3,0.007255931992648949
efficientnetb4,shap,17,IDRiD_76,4,0.0074906791654706
efficientnetb4,shap,18,IDRiD_65,4,0.0084060510220798
efficientnetb4,shap,19,IDRiD_67,4,0.008467797557953325
efficientnetb4,shap,20,IDRiD_58,3,0.0098586122103092
efficientnetb4,shap,21,IDRiD_72,2,0.01032754256295799
efficientnetb4,shap,22,IDRiD_69,4,0.011904791202149967
efficientnetb4,shap,23,IDRiD_71,2,0.012292010412805698
efficientnetb4,shap,24,IDRiD_61,3,0.017201656080313623
efficientnetb4,shap,25,IDRiD_79,3,0.017555413405517865
efficientnetb4,shap,26,IDRiD_55,2,0.020407084973019775
efficientnetb4,shap,27,IDRiD_66,3,0.03964027434347517
