image_id,model,method,lesion_type,predicted_grade,iou,dice,low_rank_correlation
IDRiD_56,resnet50,gradcam,EX,3,0.0,0.0,False
IDRiD_68,resnet50,gradcam,EX,4,0.0,0.0,False
IDRiD_74,resnet50,gradcam,EX,3,0.0,0.0,False
IDRiD_76,resnet50,gradcam,EX,3,0.0,0.0,False
IDRiD_80,resnet50,gradcam,EX,2,0.0002035896447121,0.000407096408811,False
IDRiD_56,resnet50,gradcam,HE,3,0.0,0.0,False
IDRiD_57,resnet50,gradcam,HE,2,0.0,0.0,False
IDRiD_62,resnet50,gradcam,HE,2,0.0,0.0,False
IDRiD_63,resnet50,gradcam,HE,2,0.0,0.0,False
IDRiD_65,resnet50,gradcam,HE,3,0.0,0.0,False
IDRiD_56,resnet50,gradcam,MA,3,0.0,0.0,False
IDRiD_68,resnet50,gradcam,MA,4,0.0,0.0,False
IDRiD_74,resnet50,gradcam,MA,3,0.0,0.0,False
IDRiD_59,resnet50,gradcam,MA,2,9.58501071020762e-05,0.0001916818414791,False
IDRiD_80,resnet50,gradcam,MA,2,0.0001700917413547,0.0003401256301488,False
IDRiD_68,resnet50,gradcam,SE,4,0.0,0.0,False
IDRiD_71,resnet50,gradcam,SE,2,0.0,0.0,False
IDRiD_72,resnet50,gradcam,SE,2,0.0,0.0,False
IDRiD_74,resnet50,gradcam,SE,3,0.0,0.0,False
IDRiD_75,resnet50,gradcam,SE,3,0.0,0.0,False
