image_id,model,method,lesion_type,predicted_grade,iou,dice,low_rank_correlation
IDRiD_56,resnet50,lime,EX,3,0.0,0.0,False
IDRiD_58,resnet50,lime,EX,2,0.0,0.0,False
IDRiD_68,resnet50,lime,EX,4,0.0,0.0,False
IDRiD_80,resnet50,lime,EX,2,0.0,0.0,False
IDRiD_57,resnet50,lime,EX,2,0.0001994951551176,0.0003989107294774,False
IDRiD_57,resnet50,lime,HE,2,0.0,0.0,False
IDRiD_62,resnet50,lime,HE,2,0.0,0.0,False
IDRiD_66,resnet50,lime,HE,2,0.0,0.0,False
IDRiD_74,resnet50,lime,HE,3,0.0,0.0,False
IDRiD_77,resnet50,lime,HE,3,0.0001402125457237,0.0002803857778437,False
IDRiD_56,resnet50,lime,MA,3,0.0,0.0,False
IDRiD_57,resnet50,lime,MA,2,0.0,0.0,False
IDRiD_63,resnet50,lime,MA,2,0.0,0.0,False
IDRiD_68,resnet50,lime,MA,4,0.0,0.0,False
IDRiD_70,resnet50,lime,MA,3,0.0,0.0,False
IDRiD_55,resnet50,lime,SE,2,0.0,0.0,False
IDRiD_56,resnet50,lime,SE,3,0.0,0.0,False
IDRiD_61,resnet50,lime,SE,3,0.0,0.0,False
IDRiD_64,resnet50,lime,SE,2,0.0,0.0,False
IDRiD_68,resnet50,lime,SE,4,0.0,0.0,False
