model,method,rank,image_id,predicted_grade,mean_iou
resnet50,shap,1,IDRiD_80,2,0.0013578933149039638
resnet50,shap,2,IDRiD_62,2,0.0015460041867731
resnet50,shap,3,IDRiD_73,2,0.0015994900009560248
resnet50,shap,4,IDRiD_57,2,0.0017191185552796796
resnet50,shap,5,IDRiD_70,3,0.0038614626511179
resnet50,shap,6,IDRiD_74,3,0.0043625365708317
resnet50,shap,7,IDRiD_65,3,0.0043859211680587
resnet50,shap,8,IDRiD_64,2,0.00449616564554915
resnet50,shap,9,IDRiD_60,2,0.0052160730569312495
resnet50,shap,10,IDRiD_63,2,0.005432662770713543
resnet50,shap,11,IDRiD_77,3,0.005434469650573433
resnet50,shap,12,IDRiD_76,3,0.006567854457095533
resnet50,shap,13,IDRiD_56,3,0.007496480752000525
resnet50,shap,14,IDRiD_75,3,0.007506547068407549
resnet50,shap,15,IDRiD_58,2,0.007574328908134133
resnet50,shap,16,IDRiD_68,4,0.009222311575093175
resnet50,shap,17,IDRiD_71,2,0.009604988116290175
resnet50,shap,18,IDRiD_78,2,0.010028871097016867
resnet50,shap,19,IDRiD_69,4,0.0100656233541847
resnet50,shap,20,IDRiD_72,2,0.010820057484026927
resnet50,shap,21,IDRiD_59,2,0.011522469648981975
resnet50,shap,22,IDRiD_61,3,0.015386950014314326
resnet50,shap,23,IDRiD_67,4,0.01679468942511905
resnet50,shap,24,IDRiD_79,3,0.017372032330603165
resnet50,shap,25,IDRiD_55,2,0.017808290855150725
resnet50,shap,26,IDRiD_81,3,0.021238858847685466
resnet50,shap,27,IDRiD_66,2,0.04077639801341887
