model,method,rank,image_id,predicted_grade,mean_iou
vit_b16,attention_rollout,1,IDRiD_80,0,0.00025061148688841373
vit_b16,attention_rollout,2,IDRiD_62,2,0.0021393795299704
vit_b16,attention_rollout,3,IDRiD_57,4,0.0028747579196313666
vit_b16,attention_rollout,4,IDRiD_74,1,0.0029394443106438
vit_b16,attention_rollout,5,IDRiD_73,2,0.003227835517403825
vit_b16,attention_rollout,6,IDRiD_64,2,0.0047377275371582005
vit_b16,attention_rollout,7,IDRiD_77,0,0.004763314030512766
vit_b16,attention_rollout,8,IDRiD_56,1,0.005808580336957725
vit_b16,attention_rollout,9,IDRiD_75,2,0.005875582118469775
vit_b16,attention_rollout,10,IDRiD_65,3,0.006047819261954933
vit_b16,attention_rollout,11,IDRiD_63,0,0.006381455163929667
vit_b16,attention_rollout,12,IDRiD_60,1,0.0069801715256700494
vit_b16,attention_rollout,13,IDRiD_70,2,0.00763808046136575
vit_b16,attention_rollout,14,IDRiD_76,1,0.007691528064024633
vit_b16,attention_rollout,15,IDRiD_72,4,0.008274452960665025
vit_b16,attention_rollout,16,IDRiD_78,1,0.008894835430685467
vit_b16,attention_rollout,17,IDRiD_68,1,0.009945580788227775
vit_b16,attention_rollout,18,IDRiD_58,0,0.010239515327886034
vit_b16,attention_rollout,19,IDRiD_67,4,0.010487661417263351
vit_b16,attention_rollout,20,IDRiD_79,1,0.0116132967836931
vit_b16,attention_rollout,21,IDRiD_59,2,0.0118805635134971
vit_b16,attention_rollout,22,IDRiD_69,2,0.013090561910997766
vit_b16,attention_rollout,23,IDRiD_81,2,0.016036624836577834
vit_b16,attention_rollout,24,IDRiD_55,2,0.025182744005979876
vit_b16,attention_rollout,25,IDRiD_71,0,0.026522051751883675
vit_b16,attention_rollout,26,IDRiD_61,4,0.0298686355756032
vit_b16,attention_rollout,27,IDRiD_66,2,0.06324961407795057
