model,lesion_type,method_a,method_b,n,statistic,p_raw,note,p_holm,significant_holm
efficientnetb4,MA,gradcam,lime,27,171.0,0.9090071978307225,,1.0,False
efficientnetb4,MA,gradcam,shap,27,171.0,0.6789510101079941,,1.0,False
efficientnetb4,MA,lime,shap,27,165.0,0.5780609846115112,,1.0,False
efficientnetb4,HE,gradcam,lime,27,143.0,0.5998023399346937,,1.0,False
efficientnetb4,HE,gradcam,shap,27,185.0,0.9340859353542328,,1.0,False
efficientnetb4,HE,lime,shap,27,188.0,0.9905734956264496,,1.0,False
efficientnetb4,EX,gradcam,lime,27,180.0,0.8407831341028214,,1.0,False
efficientnetb4,EX,gradcam,shap,27,86.0,0.012076601386070251,,0.13284261524677277,False
efficientnetb4,EX,lime,shap,27,65.0,0.0020453035831451416,,0.0245436429977417,True
efficientnetb4,SE,gradcam,lime,14,28.0,0.6566419342620566,,1.0,False
efficientnetb4,SE,gradcam,shap,14,37.0,0.5524933360016062,,1.0,False
efficientnetb4,SE,lime,shap,14,19.0,0.11666446478102344,,1.0,False
resnet50,MA,gradcam,lime,27,156.0,0.8611621969468249,,1.0,False
resnet50,MA,gradcam,shap,27,121.0,0.2641496340638618,,1.0,False
resnet50,MA,lime,shap,27,153.0,0.7982476237849793,,1.0,False
resnet50,HE,gradcam,lime,27,109.0,0.24142655338204444,,1.0,False
resnet50,HE,gradcam,shap,27,102.0,0.10355284372800362,,1.0,False
resnet50,HE,lime,shap,27,172.0,0.9291670099771987,,1.0,False
resnet50,EX,gradcam,lime,27,127.0,0.5110890641174397,,1.0,False
resnet50,EX,gradcam,shap,27,141.0,0.380904893503636,,1.0,False
resnet50,EX,lime,shap,27,151.0,0.5337772019665354,,1.0,False
resnet50,SE,gradcam,lime,14,6.0,0.016368539230025455,,0.18005393153028001,False
resnet50,SE,gradcam,shap,14,5.0,0.012792160247732852,,0.15350592297279422,False
resnet50,SE,lime,shap,14,23.0,0.3739447986092539,,1.0,False
